#2,"Off-Market on 08/28/2018 at $25,000",2 beds,2.5 baths,"2,871 ftsq"
#2A,"Sold on 05/26/2017 for $4,200,000",2 beds,2.5 baths,"2,114 ftsq"
#2B,"Off-Market on 03/09/2017 at $12,995",2 beds,2.5 baths,"1,555 ftsq"
#2C,"Sold on 08/01/2017 for $2,462,265",1 bed,1.5 baths,"1,055 ftsq"
#3,"Listed for sale at $5,995,000",2 beds,2.5 baths,"2,797 ftsq"
#3A,"Sold on 01/13/2017 for $4,350,000",2 beds,2.5 baths,"2,114 ftsq"
#3B,"Sold on 01/11/2017 for $3,850,000",2 beds,2.5 baths,"1,555 ftsq"
#3C,"Sold on 06/21/2017 for $2,625,000",1 bed,1.5 baths,"1,055 ftsq"
#4A,Sold on 08/21/2017 for $0,2 beds,2.5 baths,"2,114 ftsq"
#4B,"Off-Market on 01/09/2018 at $4,700,000",2 beds,2.5 baths,"1,555 ftsq"
#4C,"Sold on 01/16/2018 for $2,750,000",1 bed,1.5 baths,"1,055 ftsq"
#5A,"Sold on 01/24/2017 for $4,793,343",2 beds,2.5 baths,"2,114 ftsq"
#5B,"Sold on 01/19/2017 for $4,047,543",2 beds,2.5 baths,"1,555 ftsq"
#5C,"Sold on 01/17/2017 for $2,725,000",1 bed,1.5 baths,"1,055 ftsq"
#6A,"Sold on 01/24/2017 for $4,950,000",2 beds,2.5 baths,"2,091 ftsq"
#6B,"Sold on 02/22/2017 for $7,150,000",4 beds,3.5 baths,"2,658 ftsq"
#7A,"Off-Market on 08/25/2017 at $16,995",2 beds,2.5 baths,"2,091 ftsq"
#7B,"Sold on 01/12/2017 for $7,789,612",4 beds,3.5 baths,"2,658 ftsq"
#8,Off-Market,,,
#9,"Sold on 07/24/2017 for $19,855,875",,,"4,523 ftsq"
#COMMA,Off-Market,,,
#COMMB,Off-Market,,,
PENTHOUSE,Off-Market,,,"4,406 ftsq"
PENTHOUSE-WEST,Off-Market,,,"4,406 ftsq"
#TH,"Listed for rent at $24,000",2 beds,2.5 baths,"3,033 ftsq"
#PHW,"Off-Market on 12/06/2018 at $16,500,000",4 beds,4.5 baths,"4,406 ftsq"
