#1,"Listed for rent at $10,000",1 bed,1 bath,825 ftsq
TOWNHOUSE,Off-Market,5 beds,5+ baths,"4,500 ftsq"
#TH,"Off-Market on 05/09/2018 at $32,000",5 beds,5 baths,"4,650 ftsq"
