#2,"Sold on 12/21/2012 for $5,600,375",3 beds,3 baths,"4,600 ftsq"
#3,"Sold on 04/29/2016 for $6,925,000",studio,1 bath,"4,200 ftsq"
#4,"Sold on 12/09/2015 for $7,612,500",5 beds,3.5 baths,"4,017 ftsq"
#5,"Sold on 12/21/2012 for $3,571,196",3 beds,2 baths,"4,600 ftsq"
#CU1,"Sold on 12/21/2012 for $359,500",,,
PENTHOUSE,"Sold on 01/24/2014 for $10,997,100",4 beds,4.5 baths,"5,200 ftsq"
#PH,Sold on 05/04/2017 for $0,,,
