#2N,Off-Market,,,
#2S,"Sold on 04/11/2017 for $3,500,000",2 beds,1 bath,"2,800 ftsq"
#5N,Off-Market,,,
#5S,"Listed for sale at $3,950,000",3 beds,2 baths,"2,800 ftsq"
#6N,"Sold on 07/18/2016 for $4,500,000",3 beds,2.5 baths,"2,810 ftsq"
#6S,"Off-Market on 11/09/2010 at $17,000",3 beds,2 baths,"2,900 ftsq"
#8N,"Listed for sale at $5,500,000",3 beds,2 baths,"2,880 ftsq"
#9N,Off-Market,,,
#10S,"Sold on 11/01/2011 for $3,475,000",4 beds,3 baths,"2,800 ftsq"
#11S,"Off-Market on 04/25/2018 at $25,000",4 beds,3.5 baths,"3,000 ftsq"
#RU2,Off-Market,,,
#300,"Sold on 11/13/2006 for $1,000,000",,,
#301,"Sold on 11/13/2006 for $1,000,000",,,
#302,"Sold on 07/15/2011 for $318,000",studio,,
#305,"Sold on 01/26/2018 for $1,150,000",,,
#307,"Sold on 10/19/2007 for $145,000",,,156 ftsq
#310,Off-Market,,,720 ftsq
#400,"Sold on 11/04/2013 for $975,000",studio,1 bath,373 ftsq
#401,"Sold on 11/04/2013 for $975,000",studio,,545 ftsq
#403,"Sold on 11/07/2013 for $299,000",studio,,
#411,"Sold on 10/31/2013 for $340,000",studio,1 bath,350 ftsq
#412,"Off-Market on 05/17/2017 at $595,000",,,
#303304,"Off-Market on 01/29/2007 at $635,000",studio,1 bath,600 ftsq
400-401,"Sold on 11/05/2013 for $999,000",studio,1 bath,918 ftsq
#400401,Off-Market,,,918 ftsq
404-405,"Sold on 02/08/2018 for $1,150,000",,,"1,306 ftsq"
407-408,"Off-Market on 06/10/2015 at $450,000",studio,,350 ftsq
3020304,"Off-Market on 09/08/2006 at $875,000",studio,1 bath,900 ftsq
#PHS,"Off-Market on 06/23/2009 at $15,000",3 beds,3.5 baths,"3,500 ftsq"
#PH11N,"Off-Market on 11/21/2013 at $23,500",3 beds,2.5 baths,
PHSOUTH,"Off-Market on 02/10/2017 at $7,995,000",4 beds,3.5 baths,"3,000 ftsq"
