#1,Off-Market,,,800 ftsq
#2,"Off-Market on 07/18/2017 at $2,499",1 bed,1 bath,800 ftsq
#3,"Off-Market on 08/07/2008 at $2,000",1 bed,1 bath,900 ftsq
