#1,Off-Market,,,
#1BR,"Off-Market on 06/24/2012 at $3,250",1 bed,1 bath,"1,000 ftsq"
#2,"Listed for rent at $4,485",2 beds,1 bath,875 ftsq
#2C,"Off-Market on 07/28/2017 at $4,000",3 beds,1 bath,
#3,"Off-Market on 01/16/2014 at $9,000",3 beds,3 baths,"2,200 ftsq"
#3G,"Off-Market on 04/23/2018 at $2,900",1 bed,1 bath,
#4,"Off-Market on 08/13/2009 at $8,000",3 beds,3 baths,
#4C,"Off-Market on 11/01/2017 at $4,200",3 beds,1 bath,"2,600 ftsq"
#5C,"Off-Market on 08/14/2018 at $4,400",3 beds,1 bath,
#8A,"Off-Market on 12/12/2017 at $4,150",3 beds,1 bath,
#9AB,"Off-Market on 09/26/2018 at $10,500",4 beds,3 baths,
#9D,"Off-Market on 08/07/2017 at $4,300",3 beds,1 bath,
#10A,"Off-Market on 04/18/2018 at $4,200",3 beds,1 bath,
#10F,"Off-Market on 06/13/2017 at $4,100",3 beds,1 bath,
#10FE,"Off-Market on 07/27/2017 at $4,000",3 beds,1 bath,
#3/4,"Off-Market on 07/06/2012 at $7,900",3 beds,3 baths,"2,200 ftsq"
#DPLX,"Off-Market on 04/18/2014 at $8,000",3 beds,3 baths,"2,200 ftsq"
