#227A,"Off-Market on 11/02/2015 at $4,000",3 beds,1 bath,
#227B,"Off-Market on 11/30/2015 at $3,700",3 beds,1 bath,
#266,"Off-Market on 08/03/2015 at $3,800",3 beds,2 baths,
#303,"Off-Market on 07/07/2017 at $2,900",1 bed,1 bath,
#308,"Off-Market on 01/05/2018 at $2,050",studio,1 bath,580 ftsq
#309,"Off-Market on 11/11/2013 at $2,400",2 beds,1 bath,
#309A,"Off-Market on 05/14/2014 at $2,300",2 beds,1 bath,
#310,"Off-Market on 01/29/2018 at $2,300",2 beds,1 bath,500 ftsq
#311,"Off-Market on 02/14/2018 at $2,300",2 beds,1 bath,500 ftsq
#311R,"Off-Market on 12/11/2016 at $2,250",studio,1 bath,
#311S,"Off-Market on 12/12/2016 at $2,195",studio,1 bath,
#312,"Off-Market on 12/22/2016 at $2,350",1 bed,1 bath,
#312A,"Off-Market on 09/25/2015 at $2,500",1 bed,1 bath,
#312B,"Off-Market on 11/30/2015 at $2,400",1 bed,1 bath,
#315,"Off-Market on 01/24/2017 at $4,772",4 beds,1 bath,
#316,"Off-Market on 09/11/2017 at $3,300",3 beds,1 bath,
#317,"Off-Market on 09/26/2014 at $2,600",2 beds,1 bath,
#322,"Off-Market on 07/15/2016 at $2,400",studio,1 bath,
#324,"Off-Market on 03/02/2017 at $2,200",studio,1 bath,
#325,"Off-Market on 03/01/2018 at $2,300",studio,1 bath,500 ftsq
#325B,"Off-Market on 11/30/2015 at $2,250",studio,1 bath,
#326,"Off-Market on 03/02/2017 at $2,000",studio,1 bath,
#326A,"Off-Market on 08/19/2015 at $2,195",studio,1 bath,
#326B,"Off-Market on 08/26/2015 at $2,145",studio,1 bath,
#326Z,"Off-Market on 12/17/2016 at $2,150",studio,1 bath,
#327,"Off-Market on 09/15/2010 at $2,300",1 bed,1 bath,
#363,"Off-Market on 04/03/2018 at $2,950",3 beds,1 bath,
#401,"Off-Market on 06/02/2015 at $4,500",4 beds,2 baths,
#403,"Off-Market on 07/08/2016 at $2,895",2 beds,1 bath,700 ftsq
#403A,"Off-Market on 03/23/2016 at $2,800",3 beds,1 bath,
#404,"Off-Market on 03/02/2018 at $2,550",1 bed,1 bath,
#405,"Off-Market on 08/16/2017 at $5,204",4 beds,2 baths,
#406,"Off-Market on 02/25/2017 at $3,299",3 beds,1 bath,
#407,"Off-Market on 03/02/2017 at $2,632",3 beds,1 bath,
#408,"Off-Market on 11/03/2017 at $2,250",3 beds,2 baths,
#411,"Off-Market on 02/23/2018 at $2,300",studio,1 bath,500 ftsq
#412,"Off-Market on 12/20/2018 at $2,400",2 beds,1 bath,
#412B,"Off-Market on 01/17/2015 at $2,295",studio,1 bath,
#414,"Off-Market on 05/28/2013 at $2,700",3 beds,1 bath,
#415,"Off-Market on 04/05/2018 at $2,650",2 beds,1 bath,
#416,"Off-Market on 08/20/2013 at $4,800",4 beds,2 baths,
#416A,"Off-Market on 07/23/2015 at $3,995",3 beds,2 baths,
#417,"Off-Market on 05/10/2018 at $3,400",2 beds,1 bath,
#418,"Off-Market on 03/29/2018 at $2,600",2 beds,1 bath,
#418A,"Off-Market on 11/07/2014 at $2,399",1 bed,1 bath,
#421,"Listed for rent at $2,800",2 beds,1 bath,685 ftsq
#422,"Off-Market on 02/21/2014 at $2,350",2 beds,1 bath,
#424,"Off-Market on 02/26/2018 at $2,600",1 bed,1 bath,530 ftsq
#4FL24,"Off-Market on 10/30/2017 at $2,500",2 beds,1 bath,
#425,"Off-Market on 03/07/2018 at $2,550",1 bed,1 bath,
#426,"Off-Market on 03/02/2018 at $2,300",1 bed,1 bath,500 ftsq
#427,"Off-Market on 01/12/2018 at $2,950",1 bed,2 baths,
#427A,"Off-Market on 07/10/2015 at $4,195",3 beds,2 baths,
#444,"Off-Market on 07/31/2015 at $2,575",1 bed,1 bath,
#501,"Off-Market on 04/03/2018 at $2,900",2 beds,1 bath,
#501A,"Off-Market on 08/13/2015 at $3,295",3 beds,1 bath,
#503,"Off-Market on 02/22/2018 at $3,400",3 beds,1 bath,
#504,"Off-Market on 02/05/2018 at $2,550",1 bed,1 bath,
#506,"Off-Market on 06/05/2014 at $4,000",4 beds,1 bath,
#508,"Off-Market on 01/29/2018 at $2,250",2 beds,1 bath,
#510,"Off-Market on 05/17/2016 at $2,600",1 bed,1 bath,700 ftsq
#511,"Off-Market on 11/23/2015 at $2,395",2 beds,1 bath,
#512,"Off-Market on 04/14/2016 at $2,897",3 beds,1 bath,"1,100 ftsq"
#514,"Off-Market on 01/13/2015 at $2,700",4 beds,2 baths,
#515,"Off-Market on 03/06/2018 at $2,300",studio,1 bath,500 ftsq
#515A,"Off-Market on 08/19/2015 at $3,299",3 beds,1 bath,
#516,"Listed for rent at $3,300",4 beds,2 baths,"2,000 ftsq"
#517,"Off-Market on 08/20/2012 at $2,990",2 beds,1 bath,
#518,"Listed for rent at $2,775",2 beds,1 bath,
#519,"Off-Market on 05/27/2014 at $2,400",1 bed,1 bath,
#519A,"Off-Market on 05/19/2014 at $2,400",1 bed,1 bath,
#521A,"Off-Market on 02/06/2015 at $2,595",1 bed,1 bath,
#525,"Off-Market on 10/29/2018 at $2,600",2 beds,1 bath,530 ftsq
#526,"Off-Market on 01/15/2018 at $2,600",1 bed,1 bath,530 ftsq
#600,"Off-Market on 06/04/2013 at $2,200",studio,1 bath,
#601,"Off-Market on 04/05/2018 at $2,800",2 beds,1 bath,
#601A,"Off-Market on 08/10/2015 at $3,295",3 beds,1 bath,
#602,"Off-Market on 03/25/2016 at $2,695",1 bed,1 bath,
#603,"Off-Market on 08/20/2010 at $2,400",1 bed,1 bath,
#604,"Off-Market on 01/22/2018 at $2,600",2 beds,1 bath,
#604B,"Off-Market on 08/17/2015 at $3,300",3 beds,1 bath,
#610,"Off-Market on 10/07/2017 at $2,000",studio,1 bath,
#611,"Off-Market on 11/17/2017 at $2,350",studio,1 bath,
#614,Off-Market,,,
#615,"Listed for rent at $2,250",2 beds,1 bath,430 ftsq
