#3,"Off-Market on 11/10/2018 at $8,000",2 beds,2.5 baths,"2,000 ftsq"
#3A,"Off-Market on 12/21/2018 at $8,000",2 beds,2 baths,
#3C,"Off-Market on 12/15/2016 at $7,500",3 beds,2 baths,"2,000 ftsq"
3-FLOOR,Off-Market,,,"2,200 ftsq"
#4,"Off-Market on 11/10/2018 at $3,700",studio,1 bath,950 ftsq
#4F,"Off-Market on 09/20/2016 at $3,500",1 bed,1 bath,750 ftsq
#4R,Off-Market,,,750 ftsq
#4S,"Off-Market on  at $3,600",studio,1 bath,700 ftsq
#5,"Off-Market on 12/29/2016 at $2,900",studio,1 bath,900 ftsq
#5F,"Off-Market on 11/17/2016 at $3,000",studio,1 bath,"1,000 ftsq"
#401,"Off-Market on 02/23/2012 at $3,300",studio,1 bath,950 ftsq
