#3,"Off-Market on 11/21/2018 at $2,175",1 bed,1 bath,
#B,"Listed for rent at $2,375",1 bed,1 bath,
#4,Off-Market,,,
#5,"Off-Market on 07/27/2017 at $1,995",studio,1 bath,
#6,"Off-Market on 08/22/2017 at $2,185",studio,1 bath,
#7,Off-Market,,,
#8,"Off-Market on 12/19/2016 at $2,175",studio,,
#9,"Off-Market on 08/16/2017 at $2,165",studio,1 bath,
#10,Off-Market,,,
#11,"Off-Market on 09/01/2017 at $2,200",studio,1 bath,
#12,"Off-Market on 08/05/2014 at $2,100",studio,1 bath,
#12A,"Off-Market on 05/27/2015 at $2,100",studio,1 bath,
#14,"Off-Market on 01/06/2018 at $1,965",studio,1 bath,
#16,"Off-Market on 08/22/2017 at $2,090",1 bed,1 bath,
#18,Off-Market,,,
#DU1,"Off-Market on 03/07/2016 at $3,275",1 bed,2 baths,
#DU2,"Off-Market on 02/27/2017 at $3,500",3 beds,1 bath,
NA_144710,Off-Market,,,
#1517,Off-Market,,,
