#2,"Listed for sale at $3,100,000",2 beds,2 baths,"1,389 ftsq"
#A,Off-Market,,,
#3,"Listed for sale at $3,250,000",2 beds,2 baths,"1,380 ftsq"
#3,Off-Market,2 beds,2 baths,"1,380 ftsq"
#B,Off-Market,,,
#C,Off-Market,,,
#D,Off-Market,,,
#16,"Off-Market on 10/17/2012 at $3,750",2 beds,1 bath,900 ftsq
MAISONETTE,"Listed for sale at $4,150,000",1 bed,1+ bath,"2,431 ftsq"
#PH,"Listed for sale at $9,950,000",4 beds,4.5 baths,"3,404 ftsq"
