#1,Off-Market,,,
#2,"Off-Market on 11/30/2018 at $2,325",1 bed,1 bath,
#3,"Off-Market on 06/15/2018 at $2,150",2 beds,1 bath,
#5,"Off-Market on 08/14/2017 at $2,630",1 bed,1 bath,
#6,"Off-Market on 06/26/2017 at $2,390",2 beds,1 bath,
#7,Off-Market,,,
#8,"Off-Market on 03/29/2018 at $2,225",2 beds,1 bath,
#9,Off-Market,,,
#10,"Off-Market on 08/14/2017 at $2,400",2 beds,1 bath,
#11,"Off-Market on 04/07/2016 at $2,275",2 beds,1 bath,
#13,"Listed for rent at $2,400",1 bed,1 bath,
#15,"Off-Market on 06/12/2018 at $2,425",2 beds,1 bath,
#16,"Off-Market on 07/19/2018 at $2,460",1 bed,1 bath,
#17,"Off-Market on 04/21/2014 at $2,195",2 beds,1 bath,
#21,Off-Market,,,
