#418,"Off-Market on 07/14/2018 at $2,905",studio,1 bath,464 ftsq
#419,"Off-Market on 07/16/2016 at $2,790",studio,1 bath,472 ftsq
#420,"Off-Market on 02/26/2016 at $2,690",studio,1 bath,473 ftsq
#421,"Off-Market on 05/29/2018 at $3,296",studio,1 bath,557 ftsq
#422,"Off-Market on 10/01/2011 at $4,153",1 bed,,950 ftsq
#424,"Off-Market on 05/01/2018 at $3,490",studio,1 bath,825 ftsq
#425,"Off-Market on 10/28/2016 at $2,893",studio,1 bath,625 ftsq
#502,"Off-Market on 03/28/2016 at $2,785",studio,1 bath,452 ftsq
#503,"Off-Market on 06/30/2017 at $2,956",studio,1 bath,495 ftsq
#504,"Off-Market on 04/16/2016 at $3,734",studio,1 bath,818 ftsq
#505,"Off-Market on 03/20/2018 at $3,700",studio,1 bath,889 ftsq
#507,"Off-Market on 04/27/2016 at $5,621",2 beds,2 baths,"1,079 ftsq"
#508,"Off-Market on 08/16/2017 at $3,348",1 bed,1 bath,591 ftsq
#510,"Off-Market on 07/16/2016 at $3,156",studio,1 bath,576 ftsq
#512,"Off-Market on 02/20/2015 at $3,748",1 bed,1 bath,678 ftsq
#513,"Off-Market on 07/11/2018 at $3,545",studio,1 bath,675 ftsq
#514,"Off-Market on 06/05/2018 at $3,690",studio,1 bath,694 ftsq
#515,Off-Market,,,
#515A,"Off-Market on 12/14/2013 at $3,450",studio,1 bath,
#516,Off-Market,,,
#517,"Off-Market on 09/06/2016 at $2,830",studio,1 bath,475 ftsq
#518,"Off-Market on 08/15/2017 at $2,861",studio,1 bath,464 ftsq
#519,"Off-Market on 05/17/2015 at $2,899",studio,1 bath,472 ftsq
#520,"Off-Market on 04/26/2018 at $2,996",studio,1 bath,473 ftsq
#521,"Off-Market on 05/29/2018 at $3,098",studio,1 bath,557 ftsq
#523,"Off-Market on 09/03/2017 at $3,695",1 bed,1 bath,818 ftsq
#524,"Off-Market on 02/05/2018 at $3,470",studio,1 bath,825 ftsq
#525,"Off-Market on 05/31/2018 at $3,190",studio,1 bath,623 ftsq
#601,"Off-Market on 10/20/2016 at $3,254",studio,1 bath,551 ftsq
#602,"Off-Market on 05/05/2018 at $2,805",studio,1 bath,453 ftsq
#603,"Off-Market on 05/12/2018 at $2,906",studio,1 bath,495 ftsq
#605,"Off-Market on 04/05/2018 at $3,700",studio,1 bath,889 ftsq
#606,"Off-Market on 02/12/2014 at $3,708",1 bed,1 bath,674 ftsq
#607,"Off-Market on 01/11/2018 at $5,533",2 beds,2 baths,"1,079 ftsq"
#609,"Off-Market on 06/08/2017 at $3,354",1 bed,1 bath,618 ftsq
#611,"Off-Market on 09/15/2016 at $5,679",2 beds,2 baths,"1,080 ftsq"
#612,"Off-Market on 02/22/2015 at $3,688",1 bed,1 bath,678 ftsq
#613,"Off-Market on 03/17/2016 at $3,241",studio,1 bath,678 ftsq
#614,"Off-Market on 09/10/2018 at $3,871",studio,1 bath,694 ftsq
#616,"Off-Market on 06/03/2017 at $2,857",studio,1 bath,487 ftsq
#617,"Off-Market on 06/16/2018 at $2,820",studio,1 bath,475 ftsq
#620,"Off-Market on 06/10/2016 at $2,764",studio,1 bath,473 ftsq
#621,"Off-Market on 04/10/2015 at $3,033",studio,1 bath,557 ftsq
#622,"Off-Market on 10/05/2016 at $5,154",1 bed,1 bath,947 ftsq
#624,"Off-Market on 06/06/2018 at $3,491",studio,1 bath,825 ftsq
#625,"Off-Market on 01/06/2017 at $3,213",studio,1 bath,623 ftsq
#701,"Off-Market on 01/23/2018 at $3,140",studio,1 bath,551 ftsq
#702,"Off-Market on 07/08/2017 at $2,956",studio,1 bath,453 ftsq
#704,"Off-Market on 08/01/2018 at $3,936",studio,1 bath,818 ftsq
#705,Off-Market,,,
#706,"Off-Market on 07/16/2016 at $3,686",studio,1 bath,674 ftsq
#707,"Off-Market on 04/08/2017 at $5,908",2 beds,2 baths,"1,079 ftsq"
#708,"Off-Market on 05/22/2018 at $3,190",studio,1 bath,591 ftsq
#709,"Off-Market on 04/20/2017 at $3,190",studio,1 bath,618 ftsq
#710,"Off-Market on 05/01/2014 at $2,945",studio,1 bath,576 ftsq
#711,"Off-Market on 10/31/2018 at $6,090",2 beds,2 baths,"1,080 ftsq"
#712,"Off-Market on 08/09/2018 at $3,985",1 bed,1 bath,678 ftsq
#713,"Off-Market on 03/22/2014 at $3,200",studio,1 bath,675 ftsq
#718,"Off-Market on 05/27/2016 at $2,913",studio,1 bath,464 ftsq
#719,"Off-Market on 06/08/2015 at $2,705",studio,1 bath,472 ftsq
#720,"Off-Market on 05/10/2018 at $2,941",studio,1 bath,473 ftsq
#721,"Off-Market on 06/15/2016 at $3,103",studio,1 bath,557 ftsq
#722,"Off-Market on 02/29/2016 at $4,447",1 bed,1 bath,947 ftsq
#724,"Off-Market on 06/11/2018 at $3,545",studio,1 bath,825 ftsq
#725,"Off-Market on 11/11/2014 at $3,136",studio,1 bath,623 ftsq
#801,"Off-Market on 08/07/2017 at $3,493",1 bed,1 bath,551 ftsq
#802,"Off-Market on 08/10/2015 at $2,943",studio,1 bath,453 ftsq
#803,"Off-Market on 06/27/2018 at $2,940",studio,1 bath,495 ftsq
#804,"Off-Market on 04/25/2017 at $3,818",studio,1 bath,818 ftsq
#805,"Off-Market on 02/29/2016 at $3,623",studio,1 bath,889 ftsq
#806,"Off-Market on 06/14/2016 at $3,665",1 bed,1 bath,674 ftsq
#808,"Off-Market on 09/02/2015 at $3,429",studio,1 bath,591 ftsq
#809,"Off-Market on 07/09/2017 at $3,425",studio,1 bath,618 ftsq
#810,"Off-Market on 07/08/2017 at $3,428",1 bed,1 bath,576 ftsq
#811,"Off-Market on 10/15/2014 at $5,497",2 beds,2 baths,"1,080 ftsq"
#812,"Off-Market on 04/28/2018 at $3,875",1 bed,1 bath,678 ftsq
#813,"Off-Market on 03/08/2017 at $3,544",studio,1 bath,675 ftsq
#814,"Off-Market on 03/21/2014 at $3,300",3 beds,1 bath,850 ftsq
#815,"Off-Market on 09/27/2016 at $2,835",studio,1 bath,487 ftsq
#818,"Off-Market on 01/09/2015 at $2,694",studio,1 bath,464 ftsq
#819,"Off-Market on 05/16/2017 at $2,877",studio,1 bath,472 ftsq
#820,"Off-Market on 02/22/2013 at $2,695",studio,1 bath,473 ftsq
#821,"Off-Market on 05/17/2018 at $3,098",studio,1 bath,557 ftsq
#823,"Off-Market on 10/29/2014 at $3,992",1 bed,1 bath,818 ftsq
#825,"Off-Market on 07/31/2018 at $3,229",1 bed,1 bath,623 ftsq
#901,"Off-Market on 04/09/2016 at $3,028",studio,1 bath,551 ftsq
#902,"Off-Market on 09/20/2018 at $2,909",studio,1 bath,453 ftsq
#904,"Off-Market on 11/25/2014 at $3,741",studio,1 bath,818 ftsq
#905,"Off-Market on 11/16/2015 at $4,030",studio,1 bath,889 ftsq
#906,"Off-Market on 03/23/2013 at $3,490",1 bed,1 bath,674 ftsq
#907,"Off-Market on 05/29/2018 at $5,535",2 beds,2 baths,"1,079 ftsq"
#909,"Off-Market on 07/02/2016 at $3,342",studio,1 bath,618 ftsq
#911,"Off-Market on 08/06/2014 at $5,496",2 beds,2 baths,"1,080 ftsq"
#912,"Off-Market on 07/26/2016 at $3,932",1 bed,1 bath,678 ftsq
#913,"Off-Market on 05/29/2015 at $3,503",studio,1 bath,675 ftsq
#916,"Off-Market on 03/31/2015 at $2,880",studio,1 bath,487 ftsq
#917,"Off-Market on 01/25/2015 at $2,815",studio,1 bath,475 ftsq
#918,"Off-Market on 03/13/2018 at $2,910",studio,1 bath,464 ftsq
#920,"Off-Market on 07/10/2015 at $2,990",studio,1 bath,473 ftsq
#922,"Off-Market on 05/14/2016 at $4,865",1 bed,1 bath,947 ftsq
#923,"Off-Market on 02/22/2013 at $3,765",1 bed,1 bath,818 ftsq
#924,"Listed for rent at $3,498",studio,1 bath,825 ftsq
#925,"Off-Market on 08/03/2018 at $3,334",studio,1 bath,623 ftsq
NA_2019,Off-Market,,,
NA_2416,Off-Market,,,
NA_3209,Off-Market,,,
NA_3923,Off-Market,,,
NA_9053,Off-Market,,,
NA_9169,Off-Market,,,
