#0,"Off-Market on  at $2,600",1 bed,1 bath,700 ftsq
#1,Off-Market,,,
#1BR,"Off-Market on 11/10/2009 at $599,000",1 bed,1 bath,
#504,"Sold on 10/25/2010 for $975,000",2 beds,2 baths,"1,213 ftsq"
#505,"Off-Market on 09/02/2011 at $2,200",studio,1 bath,574 ftsq
#506,"Sold on 01/25/2017 for $680,000",studio,1 bath,620 ftsq
#507,"Off-Market on 09/29/2018 at $3,200",1 bed,1 bath,732 ftsq
#508,Sold on 01/05/2015 for $0,1 bed,1 bath,778 ftsq
#509,"Off-Market on 05/29/2013 at $4,180",2 beds,2 baths,"1,122 ftsq"
#510,"Off-Market on 03/16/2018 at $2,600",studio,1 bath,535 ftsq
#511,"Off-Market on 07/18/2017 at $2,500",studio,1 bath,515 ftsq
#512,"Sold on 09/03/2015 for $575,000",studio,1 bath,
#513,"Off-Market on 02/01/2013 at $2,150",studio,1 bath,627 ftsq
#514,"Off-Market on 06/15/2018 at $2,900",studio,1 bath,737 ftsq
#515,"Off-Market on 08/10/2015 at $2,295",studio,1 bath,550 ftsq
#516,"Sold on 10/11/2011 for $525,000",1 bed,1 bath,615 ftsq
#517,"Sold on 11/07/2017 for $722,000",1 bed,1 bath,591 ftsq
#518,"Off-Market on 11/03/2017 at $3,495",1 bed,1 bath,785 ftsq
#519,"Sold on 06/16/2010 for $471,510",,,
#520,"Off-Market on 08/15/2017 at $2,700",studio,1 bath,552 ftsq
#521,"Sold on 09/28/2010 for $538,000",,,
#522,"Sold on 08/09/2010 for $580,000",1 bed,1 bath,718 ftsq
#523,"Sold on 06/03/2015 for $655,000",1 bed,1 bath,605 ftsq
#524,"Sold on 09/01/2015 for $655,500",1 bed,1 bath,616 ftsq
#525,Sold on 08/02/2016 for $0,1 bed,1 bath,845 ftsq
#526,"Off-Market on 05/25/2017 at $2,546",studio,1 bath,600 ftsq
#527,"Off-Market on 07/21/2017 at $2,300",studio,1 bath,532 ftsq
#528,"Sold on 08/21/2015 for $582,000",studio,1 bath,569 ftsq
#529,"Off-Market on 10/18/2017 at $2,750",studio,1 bath,
#601,"Sold on 08/27/2007 for $616,041",,,
#602,"Off-Market on 11/13/2012 at $749,000",1 bed,1 bath,735 ftsq
#603,"Off-Market on 11/07/2018 at $680,000",1 bed,1 bath,625 ftsq
#604,"Sold on 06/02/2015 for $1,375,000",2 beds,2 baths,"1,213 ftsq"
#605,"Off-Market on 01/27/2016 at $2,700",studio,1 bath,577 ftsq
#606,"Sold on 04/28/2017 for $725,000",studio,1 bath,600 ftsq
#607,"Off-Market on 02/12/2017 at $3,350",1 bed,1 bath,732 ftsq
#608,"Sold on 03/15/2016 for $950,000",1 bed,1 bath,778 ftsq
#609,"Off-Market on 11/15/2017 at $5,750",2 beds,2 baths,"1,122 ftsq"
#610,"Sold on 09/20/2017 for $565,000",studio,1 bath,530 ftsq
#611,"Off-Market on 05/30/2016 at $2,995",studio,1 bath,
#612,"Off-Market on 04/19/2016 at $2,500",studio,1 bath,518 ftsq
#613,"Off-Market on 10/30/2018 at $625,000",1 bed,1 bath,627 ftsq
#613A,Off-Market,1 bed,1 bath,627 ftsq
#614,"Off-Market on 05/14/2015 at $3,100",studio,1 bath,737 ftsq
#615,"Listed for rent at $2,750",studio,1 bath,530 ftsq
#617,Sold on 05/18/2016 for $0,1 bed,1 bath,591 ftsq
#618,"Sold on 09/12/2007 for $804,417",,,
#619,"Off-Market on 12/15/2018 at $628,000",studio,1 bath,577 ftsq
#620,"Off-Market on 12/15/2018 at $628,000",studio,1 bath,552 ftsq
#621,"Off-Market on 12/23/2018 at $769,000",studio,1 bath,671 ftsq
#622,"Listed for sale at $799,000",1 bed,1 bath,718 ftsq
#623,"Sold on 01/29/2015 for $750,100",studio,1 bath,605 ftsq
#624,"Sold on 10/15/2007 for $682,227",,,
#625,Sold on 08/02/2016 for $0,1 bed,1 bath,845 ftsq
#626,Sold on 02/10/2017 for $0,studio,1 bath,600 ftsq
#627,"Off-Market on 09/04/2017 at $2,800",studio,1 bath,550 ftsq
#629,"Off-Market on 12/03/2014 at $735,000",1 bed,1 bath,
#701,"Sold on 07/18/2013 for $620,000",1 bed,1 bath,656 ftsq
#702,"Sold on 08/26/2013 for $742,500",1 bed,1 bath,732 ftsq
#703,"Off-Market on 02/07/2018 at $2,950",studio,1 bath,625 ftsq
#704,"Off-Market on 12/09/2010 at $6,700",2 beds,2 baths,"1,213 ftsq"
#705,Sold on 02/03/2012 for $0,studio,1 bath,577 ftsq
#706,"Off-Market on 08/01/2018 at $3,195",1 bed,1 bath,620 ftsq
#707,"Sold on 03/30/2012 for $720,000",1 bed,1 bath,732 ftsq
#708,"Sold on 01/26/2017 for $955,000",1 bed,1 bath,778 ftsq
#709,"Sold on 12/18/2017 for $1,500,000",2 beds,2 baths,"1,122 ftsq"
#710,"Off-Market on 07/11/2016 at $2,849",studio,1 bath,600 ftsq
#711,"Off-Market on 03/31/2017 at $2,795",studio,1 bath,515 ftsq
#712,"Off-Market on 02/26/2014 at $2,549",studio,1 bath,518 ftsq
#713,"Off-Market on 04/03/2018 at $3,000",studio,1 bath,627 ftsq
#714,"Sold on 08/02/2018 for $760,000",studio,1 bath,737 ftsq
#715,"Sold on 04/19/2017 for $600,000",studio,1 bath,530 ftsq
#716,"Listed for rent at $3,800",1 bed,1 bath,608 ftsq
#717,"Off-Market on 06/12/2015 at $3,495",1 bed,1 bath,
#718,"Sold on 09/20/2007 for $809,508",,,
#719,"Off-Market on 05/11/2018 at $695,000",2 beds,1 bath,577 ftsq
#720,"Off-Market on 08/17/2018 at $2,650",studio,1 bath,552 ftsq
#721,"Sold on 11/29/2016 for $630,000",1 bed,1 bath,700 ftsq
#722,"Sold on 09/07/2007 for $717,866",,,
#723,"Sold on 12/12/2016 for $700,000",studio,1 bath,605 ftsq
#724,"Sold on 09/04/2007 for $687,318",,,
#725,"Listed for sale at $858,000",1 bed,1 bath,845 ftsq
#726,"Sold on 11/17/2014 for $621,000",studio,1 bath,600 ftsq
#727,"Sold on 09/26/2013 for $534,000",studio,1 bath,532 ftsq
#728,"Off-Market on 11/27/2018 at $2,690",studio,1 bath,569 ftsq
#729,Sold on 10/10/2017 for $0,studio,1 bath,
#801,"Off-Market on 05/07/2018 at $2,995",studio,1 bath,656 ftsq
#802,"Off-Market on 04/09/2012 at $4,350",1 bed,1 bath,778 ftsq
#803,"Sold on 01/14/2010 for $520,000",,,
#804,Sold on 05/16/2018 for $0,2 beds,2 baths,"1,213 ftsq"
#805,"Sold on 09/01/2017 for $690,000",studio,1 bath,
#806,"Sold on 11/01/2017 for $725,000",studio,1 bath,620 ftsq
#807,"Off-Market on 12/01/2012 at $785,000",1 bed,1 bath,732 ftsq
#808,"Off-Market on 10/06/2017 at $3,495",1 bed,1 bath,778 ftsq
#809,"Off-Market on 08/16/2017 at $1,595,000",2 beds,2 baths,"1,122 ftsq"
#810,"Off-Market on 06/29/2018 at $2,800",studio,1 bath,530 ftsq
#811,"Off-Market on 10/27/2012 at $2,995",1 bed,1 bath,737 ftsq
#812,"Off-Market on 07/23/2013 at $2,650",studio,1 bath,520 ftsq
#813,"Off-Market on 08/08/2012 at $2,600",studio,1 bath,624 ftsq
#814,"Off-Market on 11/13/2015 at $3,150",1 bed,1 bath,737 ftsq
#815,"Sold on 01/12/2015 for $560,000",studio,1 bath,
#816,Sold on 11/25/2013 for $0,,,
#817,"Sold on 04/06/2016 for $755,000",1 bed,1 bath,
#818,"Sold on 06/02/2008 for $824,782",,,
#819,"Sold on 06/03/2008 for $605,858",,,
#820,"Off-Market on 07/24/2018 at $2,800",studio,1 bath,552 ftsq
#821,"Off-Market on 08/14/2016 at $3,200",studio,1 bath,671 ftsq
#822,"Off-Market on 10/15/2018 at $3,295",1 bed,1 bath,718 ftsq
#823,Sold on 07/18/2016 for $0,studio,1 bath,605 ftsq
#824,"Sold on 06/17/2014 for $514,000",studio,1 bath,606 ftsq
#825,"Off-Market on 06/01/2017 at $3,575",1 bed,1 bath,805 ftsq
#826,"Off-Market on 05/07/2018 at $2,895",studio,1 bath,600 ftsq
#827,"Off-Market on 07/30/2018 at $750,000",studio,1 bath,532 ftsq
#828,"Off-Market on 11/29/2018 at $2,750",studio,1 bath,569 ftsq
#829,"Off-Market on 10/21/2018 at $699,000",studio,1 bath,618 ftsq
#900,"Off-Market on 05/19/2013 at $2,795",studio,1 bath,755 ftsq
#901,"Off-Market on 10/18/2018 at $2,900",studio,1 bath,656 ftsq
#902,"Sold on 05/26/2016 for $655,000",studio,1 bath,542 ftsq
#903,"Off-Market on 08/04/2017 at $949,000",1 bed,1 bath,816 ftsq
#904,"Sold on 11/14/2013 for $1,295,000",2 beds,2 baths,"1,213 ftsq"
#905,"Off-Market on 09/17/2017 at $2,680",studio,1 bath,577 ftsq
#906,"Off-Market on 07/18/2017 at $3,050",1 bed,1 bath,620 ftsq
#907,"Off-Market on 09/07/2018 at $4,050",1 bed,1 bath,732 ftsq
#908,"Sold on 07/26/2018 for $950,000",1 bed,1 bath,778 ftsq
#909,"Sold on 06/08/2017 for $1,650,000",2 beds,2 baths,"1,122 ftsq"
#910,Sold on 05/02/2011 for $0,,,
#911,"Off-Market on 07/05/2018 at $3,200",studio,1 bath,515 ftsq
#912,"Off-Market on 07/18/2017 at $2,700",studio,1 bath,518 ftsq
#912A,"Off-Market on 03/16/2016 at $2,700",studio,1 bath,518 ftsq
#913,"Off-Market on 08/20/2018 at $748,000",studio,1 bath,627 ftsq
#914,"Off-Market on 06/16/2012 at $3,200",1 bed,1 bath,
#915,"Off-Market on 08/04/2016 at $3,300",1 bed,1 bath,694 ftsq
#916,"Off-Market on 08/22/2013 at $3,595",1 bed,1 bath,656 ftsq
#917,"Listed for sale at $950,000",1 bed,1 bath,883 ftsq
#918,"Off-Market on 08/23/2016 at $3,995",1 bed,1 bath,881 ftsq
#919,Sold on 12/21/2016 for $0,studio,1 bath,653 ftsq
#920,"Off-Market on 05/03/2017 at $3,495",1 bed,1 bath,760 ftsq
#921,"Sold on 10/27/2009 for $500,000",studio,1 bath,543 ftsq
#922,Sold on 11/19/2015 for $0,studio,1 bath,550 ftsq
#923,"Off-Market on 11/27/2018 at $925,000",1 bed,1 bath,804 ftsq
#924,"Off-Market on 08/21/2018 at $3,595",1 bed,1 bath,645 ftsq
#925,Sold on 01/18/2013 for $0,studio,1 bath,
#926,"Off-Market on 08/23/2018 at $2,800",studio,1 bath,572 ftsq
#927,Sold on 03/03/2015 for $0,,,
NA_1487,Off-Market,,,
NA_2646,Off-Market,,,
#1001,"Off-Market on 03/30/2015 at $2,888",studio,1 bath,656 ftsq
#1002,"Sold on 04/28/2017 for $725,000",studio,1 bath,542 ftsq
#1003,"Sold on 11/20/2007 for $896,060",,,
#1004,"Off-Market on 09/17/2018 at $1,500,000",2 beds,2 baths,"1,213 ftsq"
#1005,"Sold on 06/15/2016 for $695,000",studio,1 bath,577 ftsq
#1006,"Sold on 03/09/2018 for $720,000",1 bed,1 bath,620 ftsq
#1007,"Sold on 11/02/2018 for $875,000",1 bed,1 bath,732 ftsq
#1008,"Sold on 12/07/2007 for $773,870",,,
#1009,"Sold on 05/20/2008 for $1,390,929",,,
#1010,"Sold on 08/21/2013 for $600,000",studio,1 bath,530 ftsq
#1011,"Off-Market on 11/30/2018 at $2,690",1 bed,1 bath,515 ftsq
#1012,Sold on 07/29/2016 for $0,1 bed,1 bath,518 ftsq
#1013,"Listed for rent at $3,050",1 bed,1 bath,630 ftsq
#1014,Sold on 08/18/2016 for $0,1 bed,1 bath,735 ftsq
#1015,Sold on 06/15/2011 for $0,1 bed,1 bath,750 ftsq
#1016,Sold on 04/21/2017 for $0,,,
#1017,"Sold on 12/07/2007 for $875,695",,,
#1018,"Sold on 06/20/2014 for $995,000",1 bed,1 bath,881 ftsq
#1019,"Off-Market on 09/24/2018 at $729,000",studio,1 bath,654 ftsq
#1020,"Sold on 08/10/2010 for $720,000",studio,1 bath,713 ftsq
#1021,"Off-Market on 09/13/2018 at $649,000",studio,1 bath,543 ftsq
#1022,"Sold on 04/03/2008 for $585,000",,,
#1023,"Off-Market on 05/16/2018 at $3,700",1 bed,1 bath,825 ftsq
#1024,Sold on 08/03/2018 for $0,,,
#1025,"Off-Market on 11/09/2018 at $622,000",studio,1 bath,515 ftsq
#1026,"Off-Market on 06/23/2018 at $2,600",studio,1 bath,563 ftsq
#1027,"Off-Market on 06/15/2016 at $3,000",studio,1 bath,627 ftsq
#1101,"Off-Market on 06/29/2018 at $2,995",studio,1 bath,656 ftsq
#1102,"Off-Market on 05/05/2012 at $2,400",studio,1 bath,542 ftsq
#1103,"Listed for sale at $1,150,000",1 bed,1 bath,816 ftsq
#1104,"Off-Market on 08/28/2013 at $4,900",2 beds,2 baths,"1,213 ftsq"
#1105,"Off-Market on 10/02/2018 at $2,995",studio,1 bath,577 ftsq
#1106,"Off-Market on 06/01/2017 at $2,900",studio,1 bath,510 ftsq
#1107,"Sold on 11/07/2007 for $621,132",,,
#1108,"Off-Market on 09/05/2018 at $2,945",studio,1 bath,600 ftsq
#1109,"Sold on 10/26/2007 for $1,120,075",,,
#1110,Sold on 03/14/2016 for $0,1 bed,1 bath,691 ftsq
#1111,"Sold on 04/09/2015 for $1,040,000",1 bed,1 bath,731 ftsq
#1112,"Off-Market on 01/14/2015 at $3,400",1 bed,1 bath,840 ftsq
#1113,"Sold on 10/30/2007 for $999,921",,,
#1114,"Sold on 06/08/2017 for $1,060,000",1 bed,1 bath,753 ftsq
#1115,"Off-Market on 07/18/2017 at $3,300",studio,1 bath,620 ftsq
#1116,"Off-Market on 08/12/2018 at $3,450",studio,1 bath,665 ftsq
#1117,Sold on 09/03/2015 for $0,studio,1 bath,575 ftsq
#1118,"Sold on 08/29/2014 for $1,200,000",1 bed,1 bath,777 ftsq
#1119,"Sold on 11/05/2007 for $824,782",,,
#1120,"Sold on 08/16/2012 for $539,000",studio,1 bath,515 ftsq
#1121,"Off-Market on 10/19/2018 at $3,150",studio,1 bath,600 ftsq
#1122,"Sold on 07/31/2008 for $660,844",,,
#1201,"Off-Market on 11/21/2014 at $2,900",studio,1 bath,550 ftsq
#1202,Sold on 07/01/2016 for $0,,,
#1203,"Sold on 02/09/2018 for $1,150,000",2 beds,1 bath,850 ftsq
#1204,"Sold on 08/30/2007 for $1,420,458",,,
#1205,"Off-Market on 06/07/2018 at $3,100",studio,1 bath,577 ftsq
#1206,"Off-Market on 08/27/2018 at $2,750",studio,1 bath,
#1207,"Sold on 01/15/2014 for $1,565,000",2 beds,2 baths,"1,192 ftsq"
#1208,"Off-Market on 11/20/2018 at $3,400",studio,1 bath,588 ftsq
#1209,"Off-Market on 02/23/2017 at $3,200",1 bed,1 bath,733 ftsq
#1210,"Sold on 03/04/2010 for $910,000",1 bed,2 baths,924 ftsq
#1211,"Sold on 07/13/2017 for $1,050,000",1 bed,1 bath,737 ftsq
#1212,"Sold on 07/01/2014 for $860,000",1 bed,1 bath,753 ftsq
#1214,"Sold on 05/01/2008 for $685,000",,,
#1216,"Off-Market on 04/17/2013 at $7,000",2 beds,3 baths,"1,640 ftsq"
#1218,"Off-Market on 02/04/2016 at $2,690",studio,1 bath,515 ftsq
#1219,"Off-Market on 09/19/2018 at $2,950",studio,1 bath,569 ftsq
#1220,"Listed for sale at $650,000",1 bed,1 bath,620 ftsq
#1301,"Sold on 03/31/2015 for $645,000",studio,1 bath,656 ftsq
#1302,"Sold on 07/12/2016 for $740,000",studio,1 bath,542 ftsq
#1303,Sold on 01/14/2016 for $0,,,
#1304,"Sold on 10/27/2017 for $1,675,000",2 beds,2 baths,"1,200 ftsq"
#1305,"Off-Market on 06/27/2017 at $2,500",studio,1 bath,577 ftsq
#1306,"Sold on 05/22/2009 for $477,000",,,
#1307,"Off-Market on 08/19/2016 at $6,995",2 beds,2 baths,"1,192 ftsq"
#1308,"Off-Market on 10/26/2018 at $4,195",1 bed,1 bath,700 ftsq
#1309,"Off-Market on 11/20/2018 at $3,700",2 beds,1 bath,793 ftsq
#1310,"Sold on 07/31/2008 for $589,566",studio,1 bath,511 ftsq
#1311,"Off-Market on 02/03/2016 at $3,300",1 bed,1 bath,660 ftsq
#1312,"Sold on 05/18/2017 for $820,000",studio,1 bath,712 ftsq
#1313,"Off-Market on 06/12/2018 at $2,550",studio,1 bath,
#1314,"Sold on 11/21/2014 for $960,000",1 bed,1 bath,811 ftsq
#1315,"Off-Market on 05/07/2018 at $3,645",1 bed,1 bath,754 ftsq
#1316,"Off-Market on 08/07/2018 at $2,950",studio,1 bath,516 ftsq
#1317,"Off-Market on 11/03/2017 at $2,750",studio,1 bath,564 ftsq
#1318,"Off-Market on 06/29/2017 at $2,900",studio,1 bath,618 ftsq
#1401,"Off-Market on 02/05/2018 at $3,000",studio,1 bath,656 ftsq
#1402,"Off-Market on 08/15/2016 at $2,800",studio,1 bath,542 ftsq
#1403,"Sold on 03/18/2008 for $931,698",,,
#1404,"Off-Market on 05/30/2016 at $5,995",3 beds,2 baths,"1,213 ftsq"
#1405,"Listed for sale at $739,000",studio,1 bath,577 ftsq
#1406,"Off-Market on 06/05/2018 at $2,850",studio,1 bath,529 ftsq
#1407,"Off-Market on 11/27/2018 at $1,695,000",2 beds,2 baths,"1,200 ftsq"
#1408,"Sold on 09/23/2015 for $1,080,000",1 bed,1 bath,734 ftsq
#1409,"Off-Market on 10/06/2017 at $3,495",1 bed,1 bath,688 ftsq
#1410,"Sold on 06/14/2012 for $899,000",1 bed,1 bath,825 ftsq
#1411,"Sold on 10/04/2013 for $1,650,000",2 beds,2 baths,"1,089 ftsq"
#1412,"Sold on 09/06/2007 for $856,094",,,
#1413,"Sold on 10/19/2007 for $607,847",,,
#1414,"Off-Market on 06/30/2015 at $3,500",studio,1 bath,617 ftsq
#1501,"Off-Market on 03/09/2017 at $2,750",studio,1 bath,656 ftsq
#1502,"Sold on 08/10/2018 for $770,000",studio,1 bath,542 ftsq
#1503,"Sold on 09/11/2007 for $840,056",,,
#1504,"Off-Market on 04/26/2010 at $1,000,000",1 bed,1 bath,782 ftsq
#1505,"Sold on 11/15/2017 for $1,070,000",1 bed,1 bath,
#1506,"Sold on 01/24/2014 for $840,000",1 bed,1 bath,718 ftsq
#1507,"Sold on 08/24/2007 for $778,961",,,
#1508,"Sold on 09/05/2007 for $809,508",,,
#1509,"Off-Market on 08/11/2017 at $3,800",1 bed,1 bath,720 ftsq
#1510,"Off-Market on 12/26/2017 at $3,499",1 bed,1 bath,814 ftsq
#1511,"Sold on 11/29/2007 for $1,389,911",,,
