#0,"Off-Market on  at $2,600",1 bed,1 bath,700 ftsq
#1,Off-Market,,,
#1BR,"Off-Market on 11/10/2009 at $599,000",1 bed,1 bath,
#1712,"Off-Market on 03/28/2018 at $3,495",studio,1 bath,
#1713,"Sold on 07/07/2015 for $690,000",studio,1 bath,777 ftsq
#1720,"Off-Market on 09/01/2010 at $840,000",1 bed,1 bath,640 ftsq
#1801,"Off-Market on 10/26/2018 at $3,000",studio,1 bath,656 ftsq
#1802,"Off-Market on 05/18/2012 at $2,800",studio,1 bath,
#1803,"Off-Market on 08/26/2015 at $3,900",1 bed,1 bath,719 ftsq
#1804,"Off-Market on 07/21/2018 at $4,350",1 bed,1 bath,800 ftsq
#1805,"Off-Market on 06/09/2015 at $3,500",1 bed,1 bath,661 ftsq
#1806,"Off-Market on 09/10/2016 at $3,450",1 bed,1 bath,714 ftsq
#1807,"Off-Market on 07/14/2017 at $2,995",studio,1 bath,567 ftsq
#1808,"Listed for rent at $4,200",1 bed,1 bath,950 ftsq
#1809,"Sold on 05/07/2015 for $1,682,500",2 beds,2 baths,"1,135 ftsq"
#1810,Sold on 10/02/2017 for $0,1 bed,1 bath,650 ftsq
#1811,"Listed for sale at $895,000",1 bed,1 bath,640 ftsq
#1812,"Off-Market on 12/21/2018 at $2,828",studio,1 bath,620 ftsq
#1901,"Listed for sale at $2,995,000",3 beds,3 baths,"1,940 ftsq"
1901COMBO,"Off-Market on 04/16/2009 at $3,295,000",5 beds,4 baths,"2,509 ftsq"
#1903,"Sold on 09/08/2008 for $850,000",,,
#1904,"Off-Market on 11/05/2017 at $3,700",1 bed,1 bath,840 ftsq
#1905,"Off-Market on 09/17/2017 at $2,600",studio,1 bath,600 ftsq
#1906,"Off-Market on 04/17/2018 at $2,600",studio,1 bath,500 ftsq
#1907,"Off-Market on 10/18/2018 at $4,495",1 bed,1 bath,739 ftsq
#1908,"Off-Market on 10/30/2017 at $3,162",1 bed,1 bath,
#1909,"Off-Market on 05/22/2013 at $4,395",2 beds,2 baths,993 ftsq
#1910,"Off-Market on 11/09/2018 at $1,200,000",1 bed,1 bath,820 ftsq
#1911,"Off-Market on 11/11/2015 at $5,500",2 beds,2 baths,
#1930,"Off-Market on 12/14/2015 at $5,245",3 beds,1 bath,"1,400 ftsq"
#2001,"Off-Market on 12/15/2018 at $1,159,000",1 bed,1 bath,798 ftsq
#2002,"Off-Market on 03/11/2013 at $4,100",2 beds,1 bath,940 ftsq
#2003,"Off-Market on 02/23/2016 at $3,300",1 bed,1 bath,609 ftsq
#2004,"Sold on 01/03/2008 for $967,337",,,
#2005,"Off-Market on 05/07/2018 at $2,700",1 bed,1 bath,500 ftsq
#2006,"Listed for sale at $925,000",1 bed,1 bath,739 ftsq
#2007,"Off-Market on 04/02/2009 at $2,900",1 bed,1 bath,
#2008,"Sold on 06/03/2016 for $970,000",studio,1 bath,829 ftsq
#2009,"Sold on 08/27/2015 for $955,000",1 bed,1 bath,898 ftsq
#2010,"Listed for sale at $1,075,000",1 bed,1 bath,820 ftsq
#2101,"Sold on 06/17/2014 for $1,200,000",2 beds,2 baths,"1,101 ftsq"
#2102,"Sold on 09/06/2007 for $1,044,724",,,
#2103,"Sold on 09/16/2011 for $1,595,000",2 beds,2 baths,"1,770 ftsq"
#2104,"Off-Market on 02/23/2015 at $3,995",1 bed,1 bath,616 ftsq
#2105,"Off-Market on 12/10/2018 at $3,295",1 bed,1 bath,
#2106,"Sold on 07/20/2011 for $955,000",1 bed,1 bath,748 ftsq
#2107,"Sold on 11/04/2015 for $990,000",1 bed,1 bath,726 ftsq
#2201,"Off-Market on 11/13/2017 at $1,845,000",2 beds,2 baths,"1,101 ftsq"
#2202,"Listed for rent at $4,200",1 bed,1 bath,831 ftsq
#2203,"Off-Market on 02/23/2015 at $5,700",2 beds,2 baths,
#2204,"Off-Market on 11/03/2014 at $3,150",1 bed,1 bath,616 ftsq
#2205,"Sold on 12/03/2015 for $798,000",1 bed,1 bath,582 ftsq
#2206,"Off-Market on 08/31/2018 at $3,600",1 bed,1 bath,748 ftsq
#2207,"Sold on 06/29/2017 for $1,136,000",1 bed,1 bath,726 ftsq
#2301,"Off-Market on 09/07/2016 at $6,000",2 beds,2 baths,"1,101 ftsq"
#2302,"Off-Market on 12/06/2017 at $3,800",1 bed,1 bath,831 ftsq
#2303,Sold on 06/18/2013 for $0,2 beds,2 baths,"1,170 ftsq"
#2304,"Off-Market on 07/05/2016 at $955,000",1 bed,1 bath,
#2305,Sold on 03/25/2014 for $0,,,
#2306,"Sold on 09/13/2016 for $995,000",1 bed,1 bath,750 ftsq
#2307,Sold on 12/11/2017 for $0,1 bed,1 bath,730 ftsq
#2401,"Sold on 08/22/2012 for $1,725,000",2 beds,2 baths,"1,540 ftsq"
#2402,"Off-Market on 11/23/2015 at $2,300",studio,1 bath,450 ftsq
#2501,"Off-Market on 01/28/2015 at $3,700",1 bed,1 bath,723 ftsq
#2502,"Off-Market on 07/21/2017 at $3,900",1 bed,1 bath,
#2503,"Off-Market on 04/04/2018 at $2,495",studio,1 bath,444 ftsq
#2504,"Off-Market on 09/29/2018 at $1,095,000",1 bed,1 bath,759 ftsq
#2505,"Off-Market on 07/04/2015 at $3,800",1 bed,1 bath,700 ftsq
#2601,"Sold on 09/17/2007 for $974,974",,,
#2602,"Listed for rent at $3,700",1 bed,1 bath,
#2603,"Off-Market on 04/24/2018 at $2,680",studio,1 bath,444 ftsq
#2604,"Sold on 09/25/2007 for $936,790",,,
#2605,"Sold on 05/07/2018 for $965,000",1 bed,1 bath,700 ftsq
#2610,"Off-Market on 11/20/2015 at $3,200",1 bed,1 bath,774 ftsq
#2701,"Off-Market on 06/09/2016 at $3,900",1 bed,1 bath,723 ftsq
#2702,"Sold on 08/30/2007 for $896,060",,,
#2703,"Off-Market on 06/22/2018 at $2,550",studio,1 bath,444 ftsq
#2704,"Off-Market on 06/10/2015 at $3,700",1 bed,1 bath,759 ftsq
#2705,"Off-Market on 07/26/2016 at $3,600",1 bed,1 bath,681 ftsq
#2801,"Sold on 11/29/2017 for $1,150,000",1 bed,1 bath,723 ftsq
#2802,"Sold on 08/09/2007 for $901,151",,,
#2803,"Off-Market on 03/29/2012 at $2,300",studio,1 bath,460 ftsq
#2804,"Off-Market on 12/22/2016 at $3,650",1 bed,1 bath,780 ftsq
#2805,"Sold on 08/17/2007 for $850,000",,,
#2901,"Off-Market on 12/03/2015 at $3,900",1 bed,1 bath,723 ftsq
#2902,"Sold on 09/28/2007 for $930,000",,,
#2903,"Off-Market on 05/24/2018 at $699,000",studio,1 bath,
#2904,Sold on 10/15/2018 for $0,1 bed,1 bath,759 ftsq
#2905,"Sold on 10/23/2014 for $1,075,000",studio,1 bath,681 ftsq
#3001,"Sold on 12/09/2016 for $1,165,000",1 bed,1 bath,723 ftsq
#3002,"Sold on 08/08/2014 for $990,000",1 bed,1 bath,732 ftsq
#3003,"Sold on 09/13/2018 for $670,000",studio,1 bath,444 ftsq
#3004,"Sold on 05/24/2018 for $965,000",1 bed,1 bath,759 ftsq
#3005,"Off-Market on 08/01/2013 at $3,350",1 bed,1 bath,700 ftsq
#3005U,"Off-Market on 01/10/2013 at $3,500",1 bed,1 bath,700 ftsq
#3033,"Off-Market on 08/23/2013 at $2,850",studio,1 bath,450 ftsq
#3101,"Off-Market on 05/07/2018 at $3,895",1 bed,1 bath,723 ftsq
#3102,"Off-Market on 03/28/2016 at $3,750",1 bed,1 bath,732 ftsq
#3103,"Listed for sale at $720,000",studio,1 bath,
#3104,"Listed for sale at $1,225,000",1 bed,1 bath,800 ftsq
#3105,"Off-Market on 03/21/2018 at $1,245,000",1 bed,1 bath,681 ftsq
#3201,"Off-Market on 06/21/2018 at $4,000",1 bed,1 bath,723 ftsq
#3202,"Sold on 09/12/2013 for $920,000",1 bed,1 bath,732 ftsq
#3203,"Off-Market on 04/17/2018 at $2,700",studio,1 bath,444 ftsq
#3204,"Sold on 08/28/2017 for $1,170,000",1 bed,1 bath,760 ftsq
#3205,"Sold on 09/12/2007 for $885,877",,,
#3301,"Off-Market on 12/24/2015 at $3,900",1 bed,1 bath,723 ftsq
#3302,"Off-Market on 02/14/2018 at $3,750",1 bed,1 bath,750 ftsq
#3303,"Off-Market on 11/06/2017 at $2,495",studio,1 bath,
#3304,"Off-Market on 11/26/2018 at $1,150,000",1 bed,1 bath,759 ftsq
#3305,"Sold on 07/16/2013 for $790,000",1 bed,1 bath,681 ftsq
#3401,"Sold on 09/28/2018 for $1,335,000",1 bed,1 bath,723 ftsq
#3402,"Sold on 05/01/2015 for $1,138,000",1 bed,1 bath,732 ftsq
#3403,"Off-Market on 04/30/2014 at $2,495",studio,1 bath,444 ftsq
#3404,"Off-Market on 06/06/2016 at $3,800",1 bed,1 bath,759 ftsq
#3405,"Off-Market on 11/08/2018 at $1,249,000",1 bed,1 bath,681 ftsq
#3501,Sold on 01/27/2017 for $0,1 bed,1 bath,723 ftsq
#3502,"Off-Market on 06/26/2017 at $1,388,000",1 bed,1 bath,
#3503,"Sold on 09/08/2015 for $715,000",studio,1 bath,444 ftsq
#3504,"Off-Market on 10/15/2018 at $1,195,000",1 bed,1 bath,759 ftsq
#3505,"Sold on 04/30/2015 for $1,095,000",1 bed,1 bath,769 ftsq
#3701,"Off-Market on 10/30/2016 at $4,500",1 bed,1 bath,
#3702,"Off-Market on 02/13/2017 at $4,000",1 bed,1 bath,
#3703,"Off-Market on 03/27/2014 at $4,500",1 bed,1 bath,
#8112,"Off-Market on 06/07/2017 at $1,500,000",2 beds,2 baths,
#11114,"Off-Market on 11/02/2009 at $900,000",1 bed,1 bath,817 ftsq
#30051,"Off-Market on 03/08/2011 at $3,850",1 bed,1 bath,700 ftsq
409/410,"Sold on 06/25/2014 for $1,950,000",3 beds,3 baths,"1,652 ftsq"
619/620,"Off-Market on 12/15/2018 at $1,258,000",1 bed,2 baths,"1,129 ftsq"
619/620,Off-Market,1.5 beds,2 baths,"1,129 ftsq"
#PH,"Off-Market on 08/22/2011 at $3,300,000",2 beds,3 baths,"2,100 ftsq"
#PHS,"Off-Market on 09/28/2018 at $1,250,000",1 bed,1 bath,
#PHZ,"Off-Market on 05/21/2009 at $4,995,000",3 beds,3 baths,"2,660 ftsq"
1216-1217,"Sold on 02/19/2008 for $1,995,000",3 beds,3 baths,"1,640 ftsq"
#13THFL,"Off-Market on 08/18/2011 at $3,300",1 bed,1 bath,650 ftsq
19011910,"Off-Market on 11/02/2012 at $3,750,000",4 beds,5 baths,"2,759 ftsq"
2602/2603,"Sold on 08/02/2014 for $1,795,000",2 beds,2 baths,444 ftsq
3103/3104,"Listed for sale at $1,899,000",2 beds,2 baths,"1,200 ftsq"
#PH1,"Off-Market on 05/05/2009 at $15,000",2 beds,3 baths,
#PH1E,"Sold on 01/23/2017 for $1,425,000",1 bed,1 bath,690 ftsq
#PH1S,"Off-Market on 10/24/2017 at $1,250,000",1 bed,1 bath,
#PH1W,"Off-Market on 04/25/2017 at $4,200",1 bed,1 bath,560 ftsq
PH-1EWS,"Off-Market on 10/30/2016 at $4,000,000",3 beds,3 baths,
#PH2,"Sold on 07/19/2011 for $3,064,932",2 beds,3 baths,"2,086 ftsq"
#PH3503,"Off-Market on 06/01/2018 at $2,700",studio,1 bath,444 ftsq
#PH3505,"Off-Market on 03/31/2009 at $2,995",1 bed,1 bath,681 ftsq
PH37THFL,"Off-Market on 06/05/2013 at $10,000",3 beds,3 baths,
#PHPH2,"Off-Market on 12/03/2008 at $5,150,000",2 beds,3 baths,"2,086 ftsq"
