#1W,Off-Market,,,"1,150 ftsq"
#2,"Off-Market on  at $5,200",1 bed,1 bath,"1,500 ftsq"
#2E,"Off-Market on 06/22/2018 at $4,590",1 bed,1 bath,"1,000 ftsq"
#2W,Off-Market,,,832 ftsq
#3E,"Listed for rent at $4,900",1 bed,1 bath,"1,000 ftsq"
#3W,"Off-Market on 02/15/2011 at $4,000",studio,1 bath,"1,000 ftsq"
#7-1,Off-Market,,,"1,131 ftsq"
#9-1,Off-Market,,,"2,017 ftsq"
