#2,Off-Market,,,
#A,Sold on 07/24/2014 for $0,,,
#3,"Off-Market on 12/08/2014 at $12,000",2 beds,2.5 baths,"1,515 ftsq"
#B,Sold on 07/24/2014 for $0,,,
#C,Sold on 07/24/2014 for $0,,,
#D,Sold on 07/24/2014 for $0,,,
#E,Sold on 07/24/2014 for $0,,,
#F,Sold on 07/24/2014 for $0,,,
#10K,"Off-Market on 03/08/2018 at $4,200",3 beds,1 bath,
#15C,"Off-Market on 04/22/2014 at $3,995",1 bed,1 bath,800 ftsq
#28,Off-Market,,,
#SS3,Sold on 06/12/2017 for $0,,,
#SS9,"Sold on 05/23/2017 for $64,000",,,
#SS17,"Sold on 06/30/2017 for $15,000",,,
#SS29,"Sold on 05/14/2018 for $31,565",,,
#SS33,"Sold on 06/20/2017 for $50,000",,,
STE-411,"Off-Market on 07/14/2017 at $1,100,000",studio,1 bath,611 ftsq
#111,Off-Market,,,
#201,"Off-Market on 01/10/2016 at $4,500",studio,1 bath,564 ftsq
#203,"Sold on 07/08/2014 for $950,000",1 bed,1 bath,773 ftsq
#204,"Off-Market on 10/25/2018 at $3,350",studio,1 bath,475 ftsq
#205,"Listed for rent at $5,750",1 bed,2 baths,850 ftsq
#206,"Listed for sale at $975,000",studio,1 bath,475 ftsq
#207,"Off-Market on 02/20/2015 at $6,500",studio,1 bath,475 ftsq
#209,"Sold on 07/08/2014 for $650,000",studio,1 bath,462 ftsq
#210,"Sold on 01/05/2017 for $2,550,000",2 beds,2 baths,"1,332 ftsq"
#211,"Sold on 08/17/2017 for $3,250,000",2 beds,2 baths,"1,589 ftsq"
#260,Off-Market,studio,1 bath,475 ftsq
#301,"Sold on 04/21/2014 for $895,000",1 bed,1 bath,522 ftsq
#302,"Off-Market on 05/16/2014 at $3,800",1 bed,1 bath,564 ftsq
#303,"Off-Market on 01/13/2017 at $8,000",2 beds,2.5 baths,"1,244 ftsq"
#304,Sold on 04/16/2018 for $0,1 bed,1 bath,773 ftsq
#305,Sold on 12/16/2015 for $0,studio,1 bath,495 ftsq
#306,"Off-Market on 04/24/2014 at $3,150",studio,1 bath,495 ftsq
#307,"Sold on 12/27/2017 for $925,000",studio,1 bath,475 ftsq
#308,"Sold on 01/03/2017 for $625,000",studio,1 bath,462 ftsq
#309,"Sold on 04/21/2014 for $1,850,000",2 beds,2 baths,"1,332 ftsq"
#310,"Sold on 01/13/2017 for $1,050,000",studio,1 bath,611 ftsq
#311,"Listed for rent at $15,500",2 beds,2.5 baths,"1,515 ftsq"
#401,"Off-Market on 02/18/2015 at $3,950",1 bed,1 bath,564 ftsq
#402,"Off-Market on 08/08/2016 at $2,665,000",2 beds,2.5 baths,"1,244 ftsq"
#403,"Sold on 04/21/2014 for $1,065,000",1 bed,1 bath,773 ftsq
#404,"Off-Market on 05/22/2018 at $3,500",studio,1 bath,475 ftsq
#405,"Off-Market on 11/09/2017 at $3,995",studio,1 bath,475 ftsq
#406,"Off-Market on 09/18/2018 at $3,350",studio,1 bath,475 ftsq
#407,"Off-Market on 04/21/2014 at $715,000",studio,1 bath,475 ftsq
#408,"Sold on 01/03/2017 for $790,000",studio,1 bath,475 ftsq
#409,"Off-Market on 04/29/2016 at $3,200",studio,1 bath,475 ftsq
#410,"Sold on 02/05/2014 for $1,800,000",2 beds,2 baths,"1,332 ftsq"
#411,"Sold on 07/19/2016 for $1,100,000",studio,1 bath,611 ftsq
#412,Off-Market,,,
#501,"Off-Market on 04/09/2018 at $7,600",2 beds,2 baths,"1,180 ftsq"
#502,"Sold on 07/15/2015 for $4,100,000",3 beds,3.5 baths,"1,917 ftsq"
