#1E,Off-Market,,,
#3W,"Off-Market on 08/03/2016 at $3,988,000",2 beds,2.5 baths,
#4E,Off-Market,,,
#4W,"Sold on 05/06/2007 for $3,100,000",,,
#5W,Off-Market,,,
#7W,Off-Market,,,
#8E,Off-Market,,,
#8W,"Sold on 08/02/2010 for $3,950,000",4 beds,3 baths,
#9W,Off-Market,,,
