#0,"Off-Market on 09/01/2011 at $4,400",4 beds,2 baths,
#1BED,"Off-Market on 10/30/2013 at $2,595",1 bed,1 bath,
#2,"Off-Market on 03/03/2011 at $4,500",3 beds,2 baths,"1,000 ftsq"
#2F,"Off-Market on 10/14/2011 at $2,395",1 bed,1 bath,
#3,"Off-Market on 03/01/2016 at $2,200",2 beds,1 bath,
#3G,"Off-Market on 10/12/2016 at $2,995",1 bed,1 bath,
#3TOP,Off-Market,,,
#4A,Off-Market,,,
#4J,Off-Market,,,
#6,Off-Market,,,
#6B,Off-Market,,,
#6H,Off-Market,,,700 ftsq
#7C,Off-Market,,,
#7D,Off-Market,,,
#7H,"Off-Market on 02/06/2017 at $2,895",1 bed,1 bath,
#8H,Off-Market,,,
#9D,Off-Market,,,
#9F,Off-Market,,,
#10A,Off-Market,,,
#10H,"Off-Market on 12/20/2012 at $2,650",1 bed,1 bath,
#11C,"Off-Market on 11/09/2018 at $4,700",1 bed,1 bath,
#S1,"Off-Market on 10/08/2009 at $1,650",studio,1 bath,
#S8,"Off-Market on 10/14/2009 at $1,650",studio,1 bath,
#S9,"Off-Market on 09/10/2009 at $1,595",studio,1 bath,
#S10,"Off-Market on 09/16/2009 at $1,650",studio,1 bath,
#S12,"Off-Market on 11/19/2009 at $1,850",1 bed,1 bath,
#S16,"Off-Market on 09/23/2009 at $1,595",studio,1 bath,
#S19,"Off-Market on 11/25/2009 at $1,850",1 bed,1 bath,
#25,"Off-Market on 08/13/2014 at $2,850",1 bed,1 bath,
#38,"Off-Market on 02/19/2015 at $2,695",1 bed,1 bath,
#VAR1B,"Off-Market on 01/24/2012 at $2,595",1 bed,1 bath,
#48,"Off-Market on 09/10/2014 at $2,795",1 bed,1 bath,
#49,"Off-Market on 09/17/2014 at $2,750",1 bed,1 bath,
#51,"Off-Market on 10/01/2014 at $2,595",1 bed,1 bath,
#54,"Off-Market on 08/06/2014 at $2,995",1 bed,1 bath,
#58,"Off-Market on 07/16/2014 at $2,750",1 bed,1 bath,
#61CD,"Off-Market on 07/09/2014 at $2,795",1 bed,1 bath,
#62,"Off-Market on 01/13/2015 at $2,695",1 bed,1 bath,
#VAR1BR,"Off-Market on 04/09/2013 at $2,795",1 bed,1 bath,
#65,"Off-Market on 12/17/2014 at $2,550",1 bed,1 bath,
#VARST,"Off-Market on 01/24/2012 at $2,095",studio,1 bath,
#STUDIO,"Off-Market on 10/08/2013 at $2,050",studio,1 bath,
#91,"Off-Market on 07/30/2014 at $2,295",studio,1 bath,
#93,"Off-Market on 07/23/2014 at $2,875",1 bed,1 bath,
#102,"Off-Market on 09/09/2009 at $2,195",1 bed,1 bath,
#104,"Off-Market on 11/12/2009 at $1,950",1 bed,1 bath,
#108,"Off-Market on 10/14/2009 at $1,995",1 bed,1 bath,
#111,"Off-Market on 08/19/2009 at $1,850",1 bed,1 bath,
#116,"Off-Market on 09/23/2009 at $2,095",1 bed,1 bath,
#129,"Off-Market on 11/04/2009 at $1,950",1 bed,1 bath,
#201,"Off-Market on 02/20/2018 at $2,650",1 bed,1 bath,
#204,"Off-Market on 02/03/2016 at $2,795",1 bed,1 bath,
#205,"Off-Market on 08/27/2014 at $2,750",1 bed,1 bath,
#206,"Off-Market on 08/28/2014 at $2,650",1 bed,1 bath,
#208,"Off-Market on 03/16/2016 at $2,850",1 bed,1 bath,
#301,"Off-Market on 11/17/2014 at $2,695",1 bed,1 bath,
#302,"Off-Market on 09/09/2015 at $2,850",1 bed,1 bath,
#303,"Off-Market on 12/18/2017 at $2,795",1 bed,1 bath,
#305,"Off-Market on 07/28/2016 at $2,850",1 bed,1 bath,
#306,"Off-Market on 03/03/2017 at $2,595",1 bed,1 bath,
#308,"Off-Market on 07/03/2018 at $3,095",1 bed,1 bath,
#310,"Off-Market on 11/05/2018 at $2,295",studio,1 bath,
#311,"Off-Market on 11/07/2017 at $2,895",1 bed,1 bath,
#402,"Off-Market on 06/22/2018 at $2,995",1 bed,1 bath,
#405,"Off-Market on 08/12/2015 at $2,995",1 bed,1 bath,
#406,"Off-Market on 07/22/2017 at $2,875",1 bed,1 bath,
#408,"Off-Market on 12/11/2018 at $2,950",1 bed,1 bath,
#409,"Off-Market on 11/03/2016 at $2,750",1 bed,1 bath,
#410,"Off-Market on 06/22/2018 at $2,495",studio,1 bath,
#501,"Off-Market on 06/16/2017 at $2,850",1 bed,1 bath,
#502,"Off-Market on 10/20/2015 at $2,850",1 bed,1 bath,
#504,"Off-Market on 11/15/2017 at $2,795",1 bed,1 bath,
#505,"Off-Market on 09/20/2016 at $2,995",1 bed,1 bath,
#506,"Off-Market on 11/04/2017 at $2,795",1 bed,1 bath,
#507,"Off-Market on 09/14/2016 at $2,895",1 bed,1 bath,
#508,"Off-Market on 05/08/2018 at $2,995",1 bed,1 bath,
#509,"Off-Market on 12/17/2014 at $2,050",studio,1 bath,
#510,"Off-Market on 08/28/2018 at $2,450",studio,1 bath,
#601,"Off-Market on 09/25/2017 at $2,995",1 bed,1 bath,
#604,"Off-Market on 12/14/2016 at $2,725",1 bed,1 bath,
#605,"Off-Market on 02/23/2017 at $2,650",1 bed,1 bath,
#606,"Off-Market on 09/05/2018 at $3,095",1 bed,1 bath,
#608,"Off-Market on 12/08/2017 at $2,850",1 bed,1 bath,
#608,Off-Market,,,
#610,"Off-Market on 11/08/2018 at $2,295",studio,1 bath,
#611,"Off-Market on 09/04/2014 at $2,695",1 bed,1 bath,
#701,"Off-Market on 01/10/2018 at $2,795",1 bed,1 bath,
#702,"Listed for rent at $2,895",1 bed,1 bath,
#703,Off-Market,,,
#706,"Off-Market on 06/19/2018 at $2,995",1 bed,1 bath,
#707,"Off-Market on 04/27/2017 at $2,995",1 bed,1 bath,
#707,Off-Market,,,
#710,"Off-Market on 08/18/2015 at $2,495",studio,1 bath,
#711,"Off-Market on 11/04/2016 at $2,225",studio,1 bath,
#801,"Off-Market on 11/20/2018 at $2,975",1 bed,1 bath,
#804,"Off-Market on 09/08/2016 at $2,995",1 bed,1 bath,
#901,"Off-Market on 03/05/2018 at $2,795",1 bed,1 bath,
#902,"Off-Market on 06/24/2015 at $2,895",1 bed,1 bath,
#907,"Off-Market on 07/25/2017 at $3,050",1 bed,1 bath,
#908,"Off-Market on 05/23/2018 at $3,095",1 bed,1 bath,
#909,"Off-Market on 10/31/2017 at $2,295",studio,1 bath,
#910,"Off-Market on 11/06/2017 at $2,295",studio,1 bath,
NA_16103,Off-Market,,,
NA_16108,Off-Market,,,
#1002,"Off-Market on 12/09/2009 at $1,695",studio,1 bath,
#1003,"Off-Market on 07/09/2018 at $3,195",1 bed,1 bath,
#1004,"Off-Market on 10/15/2017 at $2,950",1 bed,1 bath,
#1005,"Off-Market on 08/08/2017 at $3,095",1 bed,1 bath,
#1007,"Off-Market on 07/03/2017 at $3,095",1 bed,1 bath,
#1008,"Off-Market on 01/29/2013 at $2,295",studio,1 bath,
#1009,"Off-Market on 12/17/2009 at $1,650",studio,1 bath,
#1010,"Off-Market on 07/22/2017 at $3,095",1 bed,1 bath,
#1011,"Off-Market on 06/22/2016 at $2,995",1 bed,1 bath,
NA_113556,Off-Market,,,
NA_149801,Off-Market,,,
#1015,"Off-Market on 01/20/2010 at $1,595",studio,1 bath,
#1017,"Off-Market on 12/23/2009 at $1,625",studio,1 bath,
#1021,"Off-Market on 01/27/2010 at $1,550",studio,1 bath,
#1029,"Off-Market on 02/02/2011 at $2,095",studio,1 bath,
#1101,"Off-Market on 07/14/2015 at $3,095",1 bed,1 bath,
#1104,"Off-Market on 09/25/2018 at $3,250",1 bed,1 bath,
#1105,"Off-Market on 12/23/2017 at $2,995",1 bed,1 bath,
#1108,"Off-Market on 09/05/2018 at $3,225",1 bed,1 bath,
#1109,"Off-Market on 12/17/2009 at $1,995",1 bed,1 bath,
#1110,"Off-Market on 11/27/2018 at $2,450",studio,1 bath,
#1111,"Off-Market on 09/04/2014 at $2,350",studio,1 bath,
#1112,"Off-Market on 09/17/2014 at $2,275",studio,1 bath,
#1114,"Off-Market on 10/08/2014 at $2,150",studio,1 bath,
#1115,"Off-Market on 01/29/2013 at $2,350",1 bed,1 bath,
#1117,"Off-Market on 11/28/2012 at $2,595",1 bed,1 bath,
#1119,"Off-Market on 01/18/2012 at $2,595",1 bed,1 bath,
#1122,"Off-Market on 02/07/2013 at $2,495",1 bed,1 bath,
#1130,"Off-Market on 01/24/2012 at $2,495",1 bed,1 bath,
#1131,"Off-Market on 02/01/2012 at $2,450",1 bed,1 bath,
#2004,"Off-Market on 02/09/2011 at $2,050",studio,1 bath,
#2011,"Off-Market on 03/13/2012 at $2,195",studio,1 bath,
#2014,"Off-Market on 02/16/2012 at $2,295",studio,1 bath,
#2016,"Off-Market on 02/23/2012 at $2,250",studio,1 bath,
#2026,"Off-Market on 02/28/2012 at $2,195",studio,1 bath,
#2031,"Off-Market on 03/07/2012 at $2,195",studio,1 bath,
#2116,"Off-Market on 02/16/2011 at $2,495",1 bed,1 bath,
#2117,"Off-Market on 02/16/2012 at $2,795",1 bed,1 bath,
#2124,"Off-Market on 02/23/2012 at $2,695",1 bed,1 bath,
#2130,"Off-Market on 02/28/2012 at $2,595",1 bed,1 bath,
#2135,"Off-Market on 03/02/2011 at $1,950",studio,1 bath,
#2138,"Off-Market on 03/07/2012 at $2,395",1 bed,1 bath,
#3003,"Off-Market on 03/09/2011 at $1,950",studio,1 bath,
#3005,"Off-Market on 10/03/2017 at $2,850",1 bed,1 bath,
#3007,"Off-Market on 02/08/2017 at $2,650",1 bed,1 bath,
#3010,"Off-Market on 03/16/2011 at $1,795",studio,1 bath,
#3017,"Off-Market on 03/21/2012 at $2,150",studio,1 bath,
#3018,"Off-Market on 03/23/2011 at $1,750",studio,1 bath,
#3022,"Off-Market on 03/28/2012 at $2,150",studio,1 bath,
#3024,"Off-Market on 03/30/2011 at $1,750",studio,1 bath,
#3031,"Off-Market on 04/04/2012 at $2,150",studio,1 bath,
#3033,"Off-Market on 04/06/2011 at $1,695",studio,1 bath,
#3105,"Off-Market on 04/08/2010 at $2,050",1 bed,1 bath,
#3110,"Off-Market on 03/16/2011 at $2,495",1 bed,1 bath,
#3112,"Off-Market on 03/19/2013 at $2,695",1 bed,1 bath,
#3117,"Off-Market on 03/13/2012 at $2,395",1 bed,1 bath,
#3122,"Off-Market on 03/28/2012 at $2,595",1 bed,1 bath,
#3123,"Off-Market on 03/23/2011 at $2,395",1 bed,1 bath,
#3124,"Off-Market on 03/21/2012 at $2,595",1 bed,1 bath,
#3134,"Off-Market on 03/30/2011 at $2,395",1 bed,1 bath,
#3141,"Off-Market on 04/06/2011 at $2,295",1 bed,1 bath,
#3142,"Off-Market on 04/04/2012 at $2,595",1 bed,1 bath,
#4008,"Off-Market on 04/11/2012 at $2,095",studio,1 bath,
#4011,"Off-Market on 04/13/2011 at $1,695",studio,1 bath,
#4012,"Off-Market on 04/20/2012 at $2,095",studio,1 bath,
#4018,"Off-Market on 04/20/2011 at $1,695",studio,1 bath,
#4021,"Off-Market on 04/24/2012 at $1,995",studio,1 bath,
#4022,"Off-Market on 04/27/2011 at $1,695",studio,1 bath,
#4025,"Off-Market on 05/01/2012 at $1,950",studio,1 bath,
#4108,"Off-Market on 04/16/2010 at $2,250",1 bed,1 bath,
#4114,"Off-Market on 04/20/2012 at $2,550",1 bed,1 bath,
#4115,"Off-Market on 04/28/2010 at $2,395",1 bed,1 bath,
#4116,"Off-Market on 04/13/2011 at $2,295",1 bed,1 bath,
#4119,"Off-Market on 04/11/2012 at $2,550",1 bed,1 bath,
#4123,"Off-Market on 04/24/2012 at $2,550",1 bed,1 bath,
#4124,"Off-Market on 04/20/2011 at $2,350",1 bed,1 bath,
#4126,"Off-Market on 05/01/2012 at $2,525",1 bed,1 bath,
#4129,"Off-Market on 04/27/2011 at $2,350",1 bed,1 bath,
#4130,"Off-Market on 04/27/2011 at $1,695",studio,1 bath,
#4131,"Off-Market on 04/27/2011 at $2,350",1 bed,1 bath,
#5005,"Off-Market on 05/08/2012 at $2,295",studio,1 bath,
#5012,"Off-Market on 05/15/2012 at $2,295",studio,1 bath,
#5015,"Off-Market on 05/22/2012 at $2,050",studio,1 bath,
#5113,"Off-Market on 05/08/2012 at $2,595",1 bed,1 bath,
#5117,"Off-Market on 05/11/2011 at $2,350",1 bed,1 bath,
#5118,"Off-Market on 05/22/2012 at $2,595",1 bed,1 bath,
#5120,"Off-Market on 05/18/2011 at $2,395",1 bed,1 bath,
#5128,"Off-Market on 05/31/2012 at $2,595",1 bed,1 bath,
#5133,"Off-Market on 06/05/2012 at $2,595",1 bed,1 bath,
#5136,"Off-Market on 06/02/2011 at $2,495",1 bed,1 bath,
#5226,"Off-Market on 05/31/2012 at $2,050",studio,1 bath,
#6008,"Off-Market on 12/13/2017 at $2,850",1 bed,1 bath,
