#1,"Off-Market on  at $3,400,000",studio,1.5 baths,"3,400 ftsq"
#2,"Sold on 09/09/2014 for $4,000,000",2 beds,3 baths,"2,400 ftsq"
#3,Off-Market,,,
#4,"Sold on 01/24/2008 for $2,744,183",2 beds,2 baths,"1,677 ftsq"
#5,"Off-Market on 11/20/2018 at $3,400,000",2 beds,2.5 baths,"2,050 ftsq"
#6,"Sold on 09/14/2012 for $3,492,000",2 beds,2.5 baths,"1,982 ftsq"
#6,"Sold on 07/15/2015 for $3,925,000",2 beds,2.5 baths,"1,982 ftsq"
#CC,"Off-Market on 06/26/2017 at $3,800,000",,,"3,861 ftsq"
#7,"Sold on 07/16/2015 for $3,995,000",2 beds,2.5 baths,"2,000 ftsq"
#8,"Sold on 07/16/2014 for $3,950,000",3 beds,2.5 baths,"2,300 ftsq"
#GRD,"Off-Market on 09/19/2008 at $16,000",studio,1 bath,"3,697 ftsq"
FLOOR-1/LL,"Off-Market on  at $3,400,000",studio,1 bath,
#PH,"Off-Market on 07/05/2016 at $17,500",2 beds,2 baths,
