#1,"Sold on 12/10/2013 for $356,387",,,
#2,"Off-Market on 12/16/2009 at $475,000",1 bed,1 bath,
#2A,"Sold on 08/06/2012 for $334,620",1 bed,1 bath,800 ftsq
#2B,"Sold on 02/04/2011 for $334,620",1 bed,1 bath,800 ftsq
#3,"Off-Market on 12/16/2009 at $425,000",1 bed,1 bath,
#3A,"Sold on 04/16/2018 for $564,000",1 bed,1 bath,803 ftsq
#3B,"Sold on 03/19/2018 for $532,000",1 bed,1 bath,800 ftsq
#4A,"Sold on 05/29/2015 for $300,000",1 bed,1 bath,800 ftsq
#C1,"Sold on 03/22/2012 for $400,000",studio,1 bath,"2,072 ftsq"
#4B,"Off-Market on 03/02/2018 at $2,200",1 bed,1 bath,
#5A,"Sold on 04/28/2011 for $304,200",1 bed,1 bath,800 ftsq
#5B,"Listed for sale at $645,000",1 bed,1 bath,803 ftsq
#6A,"Sold on 02/18/2015 for $490,000",1 bed,1 bath,800 ftsq
#6B,"Sold on 07/21/2010 for $329,550",1 bed,1 bath,800 ftsq
#41,"Off-Market on 07/06/2015 at $2,495",3 beds,1 bath,"1,200 ftsq"
COMMERCIAL,"Off-Market on 05/17/2010 at $40,000",1 bed,1 bath,"2,000 ftsq"
#PH,"Off-Market on 12/16/2009 at $475,000",1 bed,1 bath,
#PH6A,"Listed for sale at $680,000",1 bed,1 bath,803 ftsq
