#1FU,Off-Market,,,
#2FU,Off-Market,,,
#3FU,Off-Market,,,
#4FU,Off-Market,,,
#5FU,Off-Market,,,
#6FU,Off-Market,,,
#7FU,Off-Market,,,
#8FU,Off-Market,,,
#H11,"Off-Market on 11/05/2018 at $3,749,500",2 beds,3 baths,"2,039 ftsq"
#9FU,Off-Market,,,
#10FU,Off-Market,,,
#11A,"Sold on 03/03/2017 for $6,262,237",4 beds,4 baths,
#11B,"Off-Market on 08/23/2018 at $5,995,000",3 beds,3.5 baths,"2,368 ftsq"
#11C,"Sold on 03/03/2017 for $1,934,675",1 bed,1 bath,"1,051 ftsq"
#11D,"Listed for rent at $12,500",2 beds,2 baths,"1,356 ftsq"
#11E,"Sold on 03/13/2017 for $3,258,400",2 beds,2 baths,"1,520 ftsq"
#11F,"Off-Market on 01/08/2017 at $4,635,500",3 beds,3.5 baths,
#11G,"Sold on 09/27/2018 for $4,350,000",3 beds,3.5 baths,"2,342 ftsq"
#11H,"Off-Market on 11/18/2018 at $15,000",2 beds,3.5 baths,"2,039 ftsq"
#11J,"Sold on 03/06/2017 for $1,935,000",1 bed,1.5 baths,
#11K,"Listed for sale at $4,450,000",3 beds,3.5 baths,"2,249 ftsq"
#11L,Sold on 11/22/2017 for $0,3 beds,3.5 baths,"2,221 ftsq"
#11M,"Sold on 03/08/2017 for $3,197,305",2 beds,2 baths,"1,437 ftsq"
#11N,"Sold on 03/07/2017 for $3,411,137",2 beds,2.5 baths,"1,589 ftsq"
#11P,"Off-Market on 04/15/2017 at $14,500",2 beds,2.5 baths,"1,574 ftsq"
#11Q,"Listed for sale at $4,995,000",3 beds,3.5 baths,"2,063 ftsq"
#11R,"Sold on 10/26/2018 for $4,700,000",3 beds,3 baths,"2,090 ftsq"
#11S,"Sold on 03/22/2017 for $2,443,800",1 bed,1.5 baths,"1,197 ftsq"
#12A,"Off-Market on 01/10/2017 at $5,435,000",4 beds,4 baths,"2,719 ftsq"
#12B,"Listed for sale at $5,150,000",3 beds,3.5 baths,"2,355 ftsq"
#12C,"Sold on 01/20/2017 for $2,115,000",1 bed,1 bath,
#12D,"Off-Market on 10/02/2018 at $3,200,000",2 beds,2 baths,"1,367 ftsq"
#12E,"Off-Market on 04/20/2017 at $10,900",2 beds,2 baths,"1,520 ftsq"
#12F,"Listed for sale at $3,900,000",3 beds,3.5 baths,"2,028 ftsq"
#12G,"Sold on 11/21/2017 for $3,700,000",3 beds,3.5 baths,"2,341 ftsq"
#12H,Off-Market,,,
#12J,"Sold on 01/11/2017 for $1,425,550",1 bed,1.5 baths,"1,054 ftsq"
#12K,"Sold on 05/01/2018 for $3,800,000",3 beds,3.5 baths,"2,248 ftsq"
#12L,"Listed for rent at $14,985",3 beds,3.5 baths,"2,222 ftsq"
#12M,"Sold on 01/06/2017 for $3,000,000",2 beds,2 baths,"1,439 ftsq"
#12N,"Listed for sale at $3,295,000",2 beds,2.5 baths,"1,584 ftsq"
#12P,"Off-Market on 05/21/2017 at $12,500",2 beds,2.5 baths,"1,577 ftsq"
#12Q,"Off-Market on 04/17/2018 at $4,985,000",3 beds,3.5 baths,"2,069 ftsq"
#12R,"Sold on 06/27/2017 for $4,092,000",3 beds,3 baths,
#12S,"Off-Market on 07/06/2018 at $2,999,000",1 bed,2 baths,"1,828 ftsq"
#13A,"Off-Market on 06/28/2018 at $5,225,000",4 beds,4 baths,"2,719 ftsq"
#13B,"Off-Market on 10/02/2018 at $5,175,000",3 beds,3.5 baths,"2,355 ftsq"
#13C,"Listed for sale at $2,995,000",2 beds,2.5 baths,"1,443 ftsq"
#13D,"Off-Market on 03/15/2017 at $11,950",2 beds,2.5 baths,"1,588 ftsq"
#13E,"Sold on 01/10/2017 for $2,734,510",2 beds,2 baths,"1,491 ftsq"
#13F,"Off-Market on 03/29/2017 at $4,299,500",3 beds,3.5 baths,"2,028 ftsq"
#13G,"Sold on 06/15/2017 for $3,775,000",3 beds,3.5 baths,
#13H,"Sold on 01/11/2017 for $2,698,362",2 beds,3 baths,"1,779 ftsq"
#13J,"Sold on 01/24/2017 for $1,950,000",1 bed,2 baths,"1,209 ftsq"
#13K,"Sold on 10/16/2018 for $3,835,000",3 beds,3.5 baths,"2,248 ftsq"
#13L,"Sold on 09/06/2017 for $3,977,366",3 beds,3.5 baths,
#13M,"Off-Market on 04/17/2018 at $9,995",2 beds,2 baths,"1,500 ftsq"
#13N,"Sold on 01/12/2017 for $3,232,943",2 beds,2.5 baths,"1,584 ftsq"
#13P,"Off-Market on 02/21/2018 at $12,000",2 beds,2.5 baths,"1,577 ftsq"
#13Q,"Off-Market on 12/16/2016 at $5,050,000",3 beds,3.5 baths,
#13R,"Listed for sale at $4,090,000",3 beds,3 baths,"2,190 ftsq"
#13S,"Off-Market on 06/26/2017 at $11,500",1 bed,2 baths,"1,828 ftsq"
#14A,"Sold on 12/13/2018 for $9,995,000",5 beds,5+ baths,"5,287 ftsq"
#14B,"Off-Market on 12/05/2016 at $6,611,000",3 beds,3.5 baths,"2,446 ftsq"
#14AB,"Sold on 11/27/2018 for $9,200,000",5 beds,7+ baths,"5,287 ftsq"
#14C,"Sold on 05/22/2017 for $4,126,650",3 beds,3 baths,"1,983 ftsq"
#14D,"Off-Market on 07/26/2018 at $6,450,000",4 beds,5 baths,"3,111 ftsq"
#14G,"Sold on 07/11/2017 for $3,825,000",3 beds,3.5 baths,
