#A,"Off-Market on 02/06/2013 at $29,000",3 beds,3.5 baths,"2,600 ftsq"
#2A,"Off-Market on 09/27/2018 at $20,000",2 beds,2.5 baths,"2,200 ftsq"
#2B,"Off-Market on 05/11/2016 at $16,000",2 beds,2.5 baths,"1,600 ftsq"
#2C,"Off-Market on 12/18/2016 at $10,000",1 bed,2 baths,"1,600 ftsq"
#3,"Off-Market on 07/14/2017 at $6,049",1 bed,1 bath,
#3A,"Off-Market on 10/12/2017 at $18,500",2 beds,2.5 baths,"2,190 ftsq"
#3B,"Off-Market on 08/27/2018 at $12,500",2 beds,2.5 baths,"1,600 ftsq"
#3C,"Off-Market on 11/19/2016 at $10,000",1 bed,2 baths,"1,600 ftsq"
#4A,"Off-Market on 10/04/2018 at $20,000",2 beds,2.5 baths,"2,200 ftsq"
#4B,"Off-Market on 03/02/2017 at $12,918",2 beds,2.5 baths,"1,600 ftsq"
#4C,"Off-Market on 06/18/2018 at $9,995",1 bed,2 baths,"1,600 ftsq"
#5A,"Off-Market on 12/10/2016 at $30,000",3 beds,3.5 baths,"2,700 ftsq"
#5B,"Off-Market on 06/21/2018 at $26,500",3 beds,3.5 baths,"3,000 ftsq"
#6A,"Off-Market on 02/03/2018 at $27,500",3 beds,3.5 baths,"2,600 ftsq"
#6B,"Off-Market on 09/26/2016 at $24,995",3 beds,4 baths,"2,792 ftsq"
#7AB,"Off-Market on 04/02/2018 at $25,000",3 beds,3.5 baths,"2,900 ftsq"
7-SOUTH,"Off-Market on 05/03/2018 at $25,000",3 beds,3.5 baths,"3,000 ftsq"
#PH,"Listed for rent at $45,000",4 beds,3.5 baths,"3,086 ftsq"
