#1,"Off-Market on 05/10/2018 at $3,050",2 beds,1 bath,
#2,"Off-Market on 09/08/2014 at $6,900",5 beds,2 baths,
#3,"Off-Market on 06/25/2018 at $3,800",2 beds,1 bath,
#4,"Off-Market on 08/23/2018 at $3,700",2 beds,1 bath,"1,150 ftsq"
#5,"Off-Market on 06/13/2018 at $3,400",2 beds,1 bath,
#5A,"Off-Market on 05/08/2017 at $3,550",2 beds,1 bath,
#5B,"Off-Market on 06/11/2018 at $3,400",2 beds,1 bath,
#5B,Off-Market,2 beds,1 bath,
#6,"Off-Market on 03/07/2011 at $1,895",1 bed,1 bath,
#7,"Off-Market on 06/17/2017 at $3,750",2 beds,1 bath,
#8,"Off-Market on 08/17/2018 at $3,625",2 beds,1 bath,
#9,"Off-Market on 06/14/2018 at $3,800",2 beds,1 bath,
#11,"Off-Market on 06/29/2017 at $2,700",1 bed,1 bath,
#13,"Off-Market on 08/23/2018 at $3,600",2 beds,1 bath,
#15,"Off-Market on 03/14/2018 at $4,086",3 beds,1 bath,
#16,"Off-Market on 06/15/2018 at $2,500",1 bed,1 bath,
#17,"Off-Market on 10/14/2016 at $4,350",3 beds,1 bath,
#18,"Off-Market on 04/27/2018 at $3,500",2 beds,1 bath,
#19,"Off-Market on 07/25/2018 at $2,900",1 bed,1 bath,
#21,"Off-Market on 10/31/2018 at $2,995",2 beds,1 bath,
#22,"Off-Market on 08/17/2018 at $3,200",2 beds,1 bath,
#23,"Off-Market on 07/06/2018 at $3,600",2 beds,1 bath,
#24,"Off-Market on 06/30/2018 at $2,950",1 bed,1 bath,
#26,"Off-Market on 07/15/2018 at $2,500",1 bed,1 bath,
#28,"Off-Market on 08/16/2017 at $3,500",2 beds,1 bath,
UNIT-17,"Listed for rent at $3,600",3 beds,1 bath,
UNIT-21,"Off-Market on 12/11/2018 at $2,625",2 beds,1 bath,
NA_121965,Off-Market,,,
NA_142500,Off-Market,,,
NA_161837,Off-Market,,,
