#1,"Sold on 08/24/2004 for $1,079,345",,,"3,540 ftsq"
#1A,"Listed for sale at $2,395,000",3 beds,2 baths,"2,000 ftsq"
#2,"Sold on 09/02/2004 for $1,079,345",,,"3,650 ftsq"
#2A,"Off-Market on 11/28/2016 at $6,995",2 beds,2 baths,"1,584 ftsq"
#2B,"Off-Market on 08/10/2015 at $6,950",2 beds,2 baths,"1,584 ftsq"
#3,"Sold on 01/16/2008 for $1,600,000",,,"1,584 ftsq"
#3A,"Sold on 01/16/2008 for $1,600,000",2 beds,2 baths,"1,584 ftsq"
#3B,"Sold on 08/02/2011 for $1,500,000",2 beds,2 baths,"1,584 ftsq"
#4,"Sold on 08/02/2011 for $1,500,000",,,"1,584 ftsq"
#4A,"Off-Market on 08/23/2017 at $6,850",2 beds,2 baths,"1,584 ftsq"
#5,"Sold on 02/02/2004 for $880,786",,,"1,584 ftsq"
#5A,"Off-Market on 06/13/2017 at $7,000",2 beds,2 baths,"1,584 ftsq"
#5B,"Off-Market on 01/14/2014 at $1,750,000",2 beds,2 baths,"1,584 ftsq"
#6,"Sold on 11/21/2003 for $870,603",,,"1,584 ftsq"
#6A,"Off-Market on 12/11/2014 at $2,150,000",2 beds,2 baths,"1,584 ftsq"
#6B,"Off-Market on 02/29/2016 at $6,300",2 beds,1 bath,"1,584 ftsq"
#7,"Sold on 02/06/2017 for $2,000,000",,,"1,584 ftsq"
#7A,"Listed for rent at $5,500",2 beds,2 baths,"1,584 ftsq"
#7B,Off-Market,,,
#8,"Sold on 11/21/2013 for $1,850,000",2 beds,2 baths,"1,600 ftsq"
#8A,"Off-Market on 01/31/2014 at $5,950",2 beds,2 baths,"1,584 ftsq"
#8B,"Sold on 04/10/2014 for $1,925,000",2 beds,2 baths,"1,584 ftsq"
#9,"Sold on 12/11/2014 for $1,920,000",,,"1,584 ftsq"
#10,"Sold on 08/15/2011 for $1,450,000",,,"1,584 ftsq"
#11,"Sold on 05/01/2012 for $1,600,000",,,"1,584 ftsq"
#12,"Sold on 07/11/2007 for $1,700,000",,,"1,584 ftsq"
#13,"Sold on 11/02/2009 for $1,385,000",,,"1,584 ftsq"
#14,"Sold on 10/02/2013 for $1,885,000",,,"1,584 ftsq"
#L2A,"Sold on 05/31/2005 for $1,425,000",,,
#15,"Sold on 04/05/2004 for $2,036,500",,,"2,604 ftsq"
#L2B,"Sold on 10/21/2004 for $1,140,440",,,
#16,"Sold on 06/02/2005 for $1,323,725",,,"2,604 ftsq"
#18,Off-Market,,,
#19,"Sold on 08/12/2009 for $1,200,000",,,
GARDEN1A,"Off-Market on 07/18/2018 at $9,275",1 bed,2 baths,"2,000 ftsq"
#PHA,"Off-Market on 09/20/2016 at $4,300,000",3 beds,3 baths,"2,604 ftsq"
#PHC,"Off-Market on 09/23/2015 at $6,995",1 bed,1.5 baths,"1,284 ftsq"
#PHC1,"Off-Market on 08/19/2009 at $1,200,000",2 beds,1.5 baths,"1,284 ftsq"
