#0,Off-Market,8 beds,4 baths,
#2,"Off-Market on 04/12/2018 at $6,200",2 beds,1 bath,
#3,"Off-Market on 09/04/2018 at $6,300",2 beds,1 bath,
#4,"Off-Market on 10/13/2018 at $6,300",2 beds,1 bath,
#5,"Listed for sale at $8,480,000",8 beds,4 baths,"6,200 ftsq"
#8,"Off-Market on 07/29/2012 at $5,400",2 beds,1 bath,
#PH,"Off-Market on 10/19/2009 at $4,900",1.5 beds,1 bath,"1,150 ftsq"
