#1A,Off-Market,,,
#2W,"Off-Market on 10/28/2015 at $2,995",2 beds,1 bath,
TOWNHOUSE,"Off-Market on 10/24/2012 at $14,900",5 beds,4 baths,"2,800 ftsq"
#TH,"Off-Market on 10/24/2012 at $14,900",5 beds,4 baths,"2,800 ftsq"
