#1,"Sold on 12/16/2013 for $1,732,500",3 beds,3.5 baths,
#2,"Sold on 07/06/2017 for $3,150,000",3 beds,2 baths,"2,350 ftsq"
TRPLX2/3,Off-Market,,,"2,350 ftsq"
TRIPLEX,"Off-Market on 09/02/2010 at $2,485,000",3 beds,3.5 baths,
