#2A,Off-Market,,,"2,500 ftsq"
#2B,Off-Market,,,"2,500 ftsq"
#2BR,"Off-Market on 02/26/2010 at $4,800",2 beds,2 baths,"1,700 ftsq"
#3,"Off-Market on 12/29/2016 at $6,000",3 beds,2 baths,"2,500 ftsq"
#TWNH,"Off-Market on 03/08/2012 at $5,995",3 beds,2 baths,"1,500 ftsq"
