#-802,Off-Market,,,
#1012,"Sold on 03/23/2010 for $1,417,820",1 bed,2 baths,"1,863 ftsq"
#1014,"Sold on 03/29/2007 for $1,608,835",,,
#1016,"Sold on 03/18/2013 for $1,675,000",1 bed,2 baths,"1,743 ftsq"
#1020,"Sold on 05/08/2007 for $1,766,663",,,
#1022,"Sold on 04/20/2015 for $999,999",studio,1 bath,726 ftsq
#1024,"Sold on 10/04/2012 for $1,118,750",1 bed,2 baths,"1,526 ftsq"
#1026,"Sold on 05/03/2013 for $1,231,000",2 beds,2 baths,"1,430 ftsq"
#1028,"Off-Market on 04/12/2012 at $3,195",studio,1 bath,900 ftsq
#1030,"Off-Market on 07/19/2013 at $4,650",2 beds,2 baths,"1,452 ftsq"
#1101,"Sold on 01/16/2008 for $795,000",,,
#1102,"Sold on 09/05/2014 for $1,050,000",1 bed,1 bath,943 ftsq
#1104,"Sold on 09/08/2006 for $651,680",,,
#1106,"Off-Market on 06/04/2013 at $5,000",1 bed,1 bath,
#1108,"Sold on 09/29/2006 for $524,398",,,
#1110,"Sold on 04/06/2007 for $1,481,553",,,
#1112,"Sold on 05/26/2016 for $2,200,000",2 beds,2 baths,"1,800 ftsq"
#1114,"Off-Market on 02/13/2013 at $7,800",3 beds,2 baths,"2,028 ftsq"
#1116,"Off-Market on 10/22/2014 at $6,500",2 beds,2 baths,"1,727 ftsq"
#1120,"Sold on 12/01/2017 for $2,614,150",3 beds,3 baths,"2,300 ftsq"
#1122,"Sold on 11/25/2014 for $725,000",studio,1 bath,
PENTHOUSE-3,"Sold on 05/24/2011 for $3,800,000",3 beds,4 baths,"3,216 ftsq"
#1124,"Sold on 02/11/2016 for $1,570,000",1 bed,1 bath,"1,500 ftsq"
#1126,"Off-Market on 10/07/2016 at $4,350",2 beds,1 bath,"1,189 ftsq"
#1128,"Listed for sale at $975,000",studio,1 bath,929 ftsq
#1130,"Off-Market on 02/27/2017 at $5,300",2 beds,1 bath,"1,387 ftsq"
#1200,"Off-Market on 07/25/2006 at $6,000",1 bed,1 bath,"1,576 ftsq"
#1201,"Sold on 04/30/2015 for $975,000",studio,1 bath,734 ftsq
#1202,"Listed for rent at $4,395",studio,1 bath,943 ftsq
#1204,"Off-Market on 01/01/2014 at $1,275,000",studio,1 bath,"1,169 ftsq"
#1206,"Sold on 12/07/2016 for $1,350,000",studio,1 bath,"1,077 ftsq"
#1208,"Sold on 03/05/2010 for $689,000",,,
#1210,Sold on 07/06/2015 for $0,3 beds,3 baths,"2,220 ftsq"
#1212,"Sold on 05/24/2007 for $1,600,000",,,
#1214,"Sold on 05/30/2017 for $800,000",,,
#1216,"Off-Market on 08/05/2009 at $1,550,000",3 beds,2 baths,"1,727 ftsq"
#1220,"Sold on 09/27/2006 for $1,272,303",,,
#1222,"Sold on 05/09/2006 for $425,880",,,
#1224,"Sold on 08/15/2011 for $1,137,500",studio,1 bath,"1,500 ftsq"
#1226,"Off-Market on 03/05/2018 at $4,500",1 bed,1 bath,"1,189 ftsq"
#1228,"Sold on 05/01/2018 for $940,000",studio,1 bath,929 ftsq
#1230,"Off-Market on 11/16/2017 at $4,800",studio,1 bath,"1,418 ftsq"
#1400,"Sold on 06/20/2012 for $1,100,000",2 beds,1 bath,"1,576 ftsq"
#1401,"Off-Market on 05/09/2017 at $1,100,000",1 bed,1 bath,734 ftsq
#1402,"Sold on 08/29/2006 for $814,600",,,
#1404,"Off-Market on 04/07/2010 at $4,300",2 beds,1 bath,"1,200 ftsq"
#1406,"Sold on 11/04/2014 for $1,240,000",2 beds,1 bath,"1,077 ftsq"
#1408,"Sold on 09/06/2017 for $930,000",studio,1 bath,659 ftsq
#1410,"Listed for rent at $9,995",3 beds,3 baths,"2,230 ftsq"
#1410A,"Off-Market on 11/19/2018 at $9,995",3 beds,3 baths,"2,230 ftsq"
#1412,"Sold on 05/26/2006 for $896,060",,,
#1414,"Off-Market on 12/17/2018 at $2,435,000",1 bed,2 baths,"2,028 ftsq"
#1416,Sold on 05/15/2013 for $0,2 beds,2 baths,"1,730 ftsq"
#1420,"Sold on 07/01/2011 for $2,175,000",3 beds,3 baths,"2,300 ftsq"
#1422,"Off-Market on 02/05/2018 at $850,000",studio,1 bath,721 ftsq
#1424,"Sold on 05/10/2013 for $1,250,000",3 beds,2 baths,"1,530 ftsq"
