#-802,Off-Market,,,
#2810,"Sold on 07/27/2006 for $1,680,112",,,
#2812,"Sold on 07/19/2013 for $1,555,000",2 beds,2 baths,"1,407 ftsq"
#2814,"Sold on 10/25/2012 for $1,525,000",3 beds,2 baths,"1,579 ftsq"
#2820,"Sold on 08/07/2006 for $1,858,306",,,
#2822,"Off-Market on 05/23/2014 at $1,250,000",2 beds,1.5 baths,"1,140 ftsq"
#2823,"Off-Market on 07/24/2012 at $4,800",1.5 beds,1 bath,"1,140 ftsq"
#2826,"Off-Market on 08/06/2014 at $5,300",2 beds,2 baths,"1,198 ftsq"
#2828,"Off-Market on 02/23/2018 at $969,000",studio,1 bath,691 ftsq
#2830,"Sold on 05/04/2011 for $915,000",2 beds,1 bath,"1,149 ftsq"
#2900,Sold on 07/21/2010 for $0,,,
#2904,"Off-Market on 09/19/2014 at $1,600,000",1 bed,2 baths,"1,420 ftsq"
#2908,"Off-Market on 03/14/2018 at $1,700,000",1 bed,2 baths,"1,426 ftsq"
#2910,"Off-Market on 08/08/2017 at $10,500",2 beds,2 baths,"1,974 ftsq"
#2914,"Sold on 09/06/2013 for $1,375,000",1 bed,1 bath,"1,268 ftsq"
#2920,"Off-Market on 08/07/2018 at $12,500",3 beds,3.5 baths,"2,478 ftsq"
#2924,"Off-Market on 07/20/2014 at $6,350",1 bed,2 baths,"1,475 ftsq"
#2926,"Off-Market on 05/21/2018 at $6,250",1 bed,2 baths,"1,438 ftsq"
#2930,"Sold on 07/19/2012 for $1,150,000",1 bed,2 baths,"1,116 ftsq"
#3000,"Sold on 09/12/2017 for $2,500,000",2 beds,2 baths,"1,922 ftsq"
#3008,"Sold on 05/16/2018 for $2,400,000",3 beds,3 baths,"1,857 ftsq"
#3010,"Off-Market on 06/18/2018 at $7,600",2 beds,2 baths,"1,701 ftsq"
#3014,"Sold on 04/08/2010 for $1,050,000",1 bed,2 baths,"1,258 ftsq"
#3020,"Sold on 08/29/2006 for $2,291,062",,,
#3022,"Off-Market on 09/30/2015 at $1,750,000",1 bed,2 baths,"1,314 ftsq"
#3024,"Sold on 10/23/2015 for $1,875,000",2 beds,2 baths,"1,452 ftsq"
#3030,"Sold on 03/21/2007 for $1,389,911",,,
#3100,"Sold on 01/22/2007 for $1,624,108",,,
#3108,"Sold on 07/21/2017 for $2,537,625",2 beds,3 baths,"1,857 ftsq"
#3110,"Sold on 04/02/2012 for $1,690,000",2 beds,2 baths,"1,701 ftsq"
#3114,"Off-Market on 11/14/2018 at $5,000",1 bed,2 baths,"1,115 ftsq"
#3120,"Sold on 09/08/2014 for $2,605,000",2 beds,2.5 baths,"2,011 ftsq"
#3122,"Listed for sale at $1,750,000",1 bed,2 baths,"1,314 ftsq"
#3124,Sold on 11/27/2013 for $10,,,
#3130,"Off-Market on 11/14/2016 at $7,000",1 bed,2 baths,"1,753 ftsq"
#3200,"Sold on 09/30/2016 for $2,850,000",2 beds,2 baths,"1,922 ftsq"
#3208,Sold on 11/15/2017 for $0,,,
#3210,"Off-Market on 05/30/2015 at $7,950",2 beds,2 baths,"1,725 ftsq"
#3214,"Sold on 12/14/2012 for $1,070,000",1 bed,2 baths,"1,115 ftsq"
#3220,"Sold on 06/26/2013 for $1,856,250",2 beds,2.5 baths,"2,050 ftsq"
#3222,"Sold on 02/28/2007 for $1,277,903",,,
#3224,"Sold on 09/18/2015 for $1,875,000",2 beds,2 baths,
#3230,"Sold on 09/21/2012 for $1,570,000",2 beds,1.5 baths,"1,458 ftsq"
#3300,Sold on 10/12/2018 for $0,,,
#3308,"Off-Market on 07/26/2013 at $8,500",3 beds,3 baths,"1,860 ftsq"
#3310,"Off-Market on 03/28/2013 at $6,500",2 beds,2 baths,"1,701 ftsq"
#3314,"Off-Market on 05/15/2013 at $5,000",1 bed,2 baths,"1,200 ftsq"
#3320,"Sold on 02/10/2011 for $2,195,000",2 beds,2.5 baths,"2,052 ftsq"
#3322,"Sold on 06/23/2010 for $1,285,000",2 beds,2 baths,"1,314 ftsq"
#3324,"Off-Market on 11/24/2010 at $5,350",1 bed,2 baths,"1,460 ftsq"
#3330,"Off-Market on 11/28/2012 at $8,500",2 beds,2 baths,"1,817 ftsq"
#3400,"Sold on 11/14/2006 for $1,654,656",,,
#3408,"Sold on 07/21/2014 for $2,255,000",3 beds,3 baths,"1,779 ftsq"
#3410,Sold on 01/08/2018 for $0,2 beds,2 baths,"1,643 ftsq"
#3414,"Listed for rent at $6,000",1 bed,2 baths,"1,100 ftsq"
#3420,"Off-Market on 08/05/2016 at $8,000",2 beds,3.5 baths,"2,011 ftsq"
#3422,"Sold on 08/21/2008 for $1,475,000",1 bed,2 baths,"1,271 ftsq"
#3424,"Listed for sale at $1,675,000",1 bed,2.5 baths,"1,397 ftsq"
#3430,"Sold on 08/29/2018 for $2,300,000",2 beds,2 baths,"1,758 ftsq"
#3500,"Off-Market on 08/14/2017 at $2,835,000",2 beds,2.5 baths,"1,838 ftsq"
#3508,"Off-Market on 05/14/2015 at $4,250",studio,1 bath,"1,000 ftsq"
#3510,Sold on 11/27/2012 for $0,2 beds,2 baths,"1,725 ftsq"
#3516,"Off-Market on 08/25/2015 at $4,550",1 bed,1 bath,974 ftsq
#3520,"Sold on 08/14/2015 for $3,500,000",2 beds,2.5 baths,"1,948 ftsq"
#3522,"Sold on 08/18/2015 for $1,620,000",1 bed,1.5 baths,"1,200 ftsq"
#3600,"Sold on 01/31/2017 for $3,550,000",,,
#3610,"Sold on 03/26/2013 for $2,583,300",2 beds,2 baths,"1,873 ftsq"
#3620,"Sold on 10/26/2012 for $2,612,500",2 beds,2.5 baths,"2,079 ftsq"
#3630,"Off-Market on 04/29/2013 at $2,695,000",2 beds,2 baths,"1,786 ftsq"
#3700,"Sold on 04/23/2007 for $2,306,336",2 beds,2 baths,"1,846 ftsq"
#3710,"Sold on 06/06/2017 for $1,250,000",2 beds,2 baths,"1,961 ftsq"
#3730,"Sold on 06/23/2017 for $3,375,000",3 beds,2.5 baths,"2,305 ftsq"
#3800,"Sold on 07/30/2015 for $2,400,000",2 beds,2 baths,"1,750 ftsq"
#3810,"Sold on 12/11/2014 for $2,650,000",2 beds,2 baths,"1,961 ftsq"
#3830,"Sold on 07/15/2015 for $3,495,000",2 beds,2.5 baths,"2,428 ftsq"
#3910,"Sold on 06/15/2017 for $4,100,000",4 beds,3.5 baths,"3,000 ftsq"
#3920,"Sold on 05/24/2011 for $3,800,000",3 beds,4 baths,"3,216 ftsq"
#3930,"Off-Market on 07/08/2018 at $16,500",3 beds,3 baths,"3,000 ftsq"
#9281,Off-Market,,,856 ftsq
#15302,"Off-Market on 02/17/2010 at $5,000",2 beds,1 bath,"1,430 ftsq"
#18222,"Off-Market on 02/17/2010 at $3,000",studio,1 bath,800 ftsq
#37301,Off-Market,,,"2,307 ftsq"
#39010,"Off-Market on 04/13/2011 at $4,850,000",4 beds,4.5 baths,"3,000 ftsq"
#81416,"Off-Market on 09/14/2010 at $3,450,000",4 beds,4 baths,"3,800 ftsq"
#160414,"Sold on 04/02/2010 for $15,500,000",8 beds,10 baths,"9,500 ftsq"
#161012,"Sold on 07/12/2010 for $4,995,000",6 beds,5 baths,"4,100 ftsq"
#162022,"Off-Market on 11/18/2010 at $3,250,000",5 beds,4 baths,"3,021 ftsq"
2828/30,"Sold on 08/16/2011 for $1,659,000",1 bed,2 baths,"1,800 ftsq"
3120-22,"Sold on 03/27/2012 for $3,600,000",4 beds,4.5 baths,"3,350 ftsq"
#312022,"Off-Market on 05/19/2010 at $3,600,000",5 beds,4.5 baths,"3,350 ftsq"
3320/22,"Off-Market on 09/01/2011 at $4,595,000",4.5 beds,4 baths,"3,350 ftsq"
#332022,"Sold on 07/29/2010 for $3,600,000",5 beds,4.5 baths,"3,350 ftsq"
814/816,"Sold on 04/17/2013 for $3,690,000",3 beds,4 baths,"3,787 ftsq"
#816814,"Off-Market on 09/15/2010 at $3,450,000",4 beds,4 baths,"3,787 ftsq"
#PH,"Off-Market on 06/03/2009 at $4,950,000",4 beds,3.5 baths,"3,000 ftsq"
14282616,"Off-Market on 12/02/2011 at $8,500,000",8 beds,9 baths,"7,537 ftsq"
20162020,"Off-Market on 12/02/2011 at $4,800,000",5 beds,5 baths,"4,027 ftsq"
2016-2020,"Off-Market on 04/05/2014 at $5,275,000",5 beds,5 baths,"4,110 ftsq"
2016/2020,"Off-Market on 04/27/2015 at $5,250,000",5 beds,5 baths,"4,110 ftsq"
23002400,"Off-Market on 04/01/2011 at $4,090,000",4 beds,4 baths,"3,679 ftsq"
2420/2520,"Off-Market on 07/22/2011 at $4,795,000",5 beds,4 baths,"3,600 ftsq"
2520/2620,"Off-Market on 09/01/2012 at $4,295,000",5 beds,4 baths,"3,554 ftsq"
2600/2700,"Off-Market on 06/25/2012 at $3,795,000",4 beds,4 baths,"3,468 ftsq"
26142616,"Off-Market on 07/12/2012 at $2,999,000",4 beds,3 baths,"2,581 ftsq"
2614/2616,"Off-Market on 05/21/2014 at $3,100,000",4 beds,4 baths,"2,581 ftsq"
34103510,"Off-Market on 01/22/2011 at $4,250,000",5 beds,4 baths,"3,375 ftsq"
3610-3620,"Off-Market on 07/16/2012 at $5,750,000",4 beds,4.5 baths,"3,952 ftsq"
3800/3810,Off-Market,,,"3,711 ftsq"
38003810,"Off-Market on 10/02/2014 at $5,095,000",5 beds,4 baths,"3,711 ftsq"
#PH10,"Off-Market on 03/09/2010 at $4,950,000",4 beds,3.5 baths,"2,994 ftsq"
#3610PH,"Off-Market on 06/27/2011 at $12,000",4 beds,5 baths,"3,952 ftsq"
#3620PH,"Off-Market on 04/22/2009 at $15,000,000",6 beds,6 baths,"6,257 ftsq"
#3730PH,"Off-Market on 08/24/2010 at $2,745,000",3 beds,2.5 baths,"2,305 ftsq"
#3910PH,"Sold on 10/13/2011 for $4,100,000",4 beds,3.5 baths,"3,000 ftsq"
#PH3000,"Off-Market on 06/07/2013 at $2,699,500",2 beds,2 baths,"2,523 ftsq"
#PH3900,"Off-Market on 12/19/2012 at $2,881,000",3 beds,3 baths,"2,523 ftsq"
#PH3910,"Off-Market on 06/19/2017 at $4,399,000",4 beds,3.5 baths,"3,000 ftsq"
#PH3930,"Off-Market on 07/29/2016 at $5,250,000",3 beds,3 baths,"2,920 ftsq"
PH3900/10,"Off-Market on 08/16/2011 at $7,500,000",7 beds,6+ baths,"5,523 ftsq"
