#6,Off-Market,,,
#6A,Off-Market,,,916 ftsq
#IIO6,"Listed for rent at $4,695",1 bed,1 bath,
#55,Off-Market,,,
#12O1,"Listed for rent at $5,955",1 bed,2 baths,
#1001,"Off-Market on 11/01/2018 at $5,777",1 bed,2 baths,
#1002,"Off-Market on 09/27/2018 at $4,890",1 bed,2 baths,
#1009,"Off-Market on 09/10/2018 at $2,465",studio,1 bath,
#1014,"Off-Market on 09/13/2018 at $3,565",1 bed,1 bath,
#1106,"Off-Market on 12/20/2018 at $4,835",1 bed,1 bath,
#1108,"Off-Market on 11/02/2018 at $3,600",1 bed,1 bath,
#1109,"Off-Market on 11/02/2018 at $2,665",studio,1 bath,
#1110,"Off-Market on 12/20/2018 at $3,500",studio,1 bath,
#1111,"Off-Market on 12/05/2018 at $3,600",studio,1 bath,
#1113,"Off-Market on 11/21/2018 at $3,500",studio,1 bath,
#1114,"Off-Market on 12/14/2018 at $3,600",1 bed,1 bath,
#1116,"Off-Market on 12/03/2018 at $4,150",1 bed,1 bath,
#1201,"Off-Market on 12/06/2018 at $5,955",1 bed,2 baths,
#1206,"Off-Market on 11/20/2018 at $4,800",1 bed,1 bath,
#1208,"Off-Market on 09/24/2018 at $3,662",1 bed,1 bath,
#1210,"Off-Market on 10/11/2018 at $3,133",studio,1 bath,
#1213,"Off-Market on 11/08/2018 at $3,155",studio,1 bath,
#1214,"Off-Market on 10/05/2018 at $3,511",1 bed,1 bath,
#1220,"Off-Market on 11/01/2018 at $3,290",studio,1 bath,
#1222,"Off-Market on 10/04/2018 at $6,311",1 bed,2 baths,
#1304,"Off-Market on 09/27/2018 at $3,170",studio,1 bath,
#1310,"Off-Market on 09/14/2018 at $2,770",studio,1 bath,
#1316,"Off-Market on 10/26/2018 at $3,710",1 bed,1 bath,
#1404,"Listed for rent at $3,155",studio,1 bath,
#1410,"Off-Market on 11/21/2018 at $2,710",studio,1 bath,
#1414,"Off-Market on 11/20/2018 at $4,050",1 bed,1 bath,
#1417,"Off-Market on 10/11/2018 at $2,662",studio,1 bath,
#1418,"Off-Market on 12/20/2018 at $3,875",studio,1 bath,
#1421,"Off-Market on 12/06/2018 at $3,150",studio,1 bath,
#1422,"Off-Market on 10/26/2018 at $2,800",studio,1 bath,
#1423,"Off-Market on 10/26/2018 at $3,160",studio,1 bath,
#1503,"Listed for rent at $2,665",studio,1 bath,
#1509,"Listed for rent at $3,625",1 bed,1 bath,
