#1,"Off-Market on 07/14/2017 at $35,000",8 beds,5+ baths,"6,500 ftsq"
TOWNHOUSE,"Off-Market on 02/04/2014 at $28,000",7 beds,6+ baths,"5,700 ftsq"
#TH,"Off-Market on 05/09/2014 at $24,000",6 beds,6 baths,"5,700 ftsq"
