#8S,Off-Market,2 beds,1 bath,
#12D,Off-Market,,,
#103,"Off-Market on 03/15/2012 at $2,300",1 bed,1 bath,
#1718,"Off-Market on 06/07/2017 at $3,995",1 bed,1 bath,688 ftsq
