1-BEDROOM,Off-Market,,,
#2,Off-Market,,,
#2A,"Sold on 09/01/2011 for $3,150,000",3 beds,3 baths,"2,302 ftsq"
#2B,"Sold on 09/25/2012 for $1,700,000",2 beds,2 baths,"1,260 ftsq"
#2C,"Sold on 08/30/2011 for $2,010,000",2 beds,2 baths,"1,535 ftsq"
#2D,"Sold on 06/06/2017 for $2,240,000",2 beds,2 baths,"1,214 ftsq"
#2E,"Sold on 02/12/2018 for $1,140,000",studio,1 bath,743 ftsq
#2F,"Off-Market on 02/05/2017 at $4,250",1 bed,1 bath,759 ftsq
#2G,Sold on 10/03/2013 for $0,,,
#2J,"Off-Market on 01/03/2017 at $3,795",1 bed,1 bath,677 ftsq
#2K,"Sold on 04/14/2015 for $1,130,000",1 bed,1 bath,617 ftsq
#2L,"Off-Market on 04/28/2015 at $4,000",1 bed,1 bath,625 ftsq
#2M,"Sold on 11/18/2016 for $1,160,000",1 bed,1 bath,625 ftsq
#2N,"Off-Market on 09/03/2018 at $4,000",1 bed,1 bath,650 ftsq
#2P,"Sold on 09/30/2011 for $965,000",1 bed,1 bath,697 ftsq
#2Q,"Off-Market on 12/01/2014 at $1,350,000",1 bed,1 bath,
#2R,"Sold on 09/19/2016 for $1,150,000",studio,1 bath,579 ftsq
#2S,"Off-Market on 06/07/2016 at $4,200",1 bed,1 bath,605 ftsq
#2T,"Sold on 02/20/2007 for $773,870",,,
#2U,"Sold on 07/27/2010 for $850,000",1 bed,1 bath,715 ftsq
#3A,"Sold on 07/02/2013 for $3,550,000",3 beds,3 baths,"2,215 ftsq"
#3B,"Off-Market on 02/14/2017 at $7,500",2 beds,2 baths,"1,260 ftsq"
#3C,"Sold on 08/10/2010 for $2,225,000",2 beds,2 baths,"1,534 ftsq"
#3D,"Off-Market on 03/22/2018 at $6,550",2 beds,2 baths,"1,214 ftsq"
#3E,"Off-Market on 03/03/2016 at $1,295,000",studio,1 bath,
#3E,"Sold on 06/22/2017 for $1,098,000",studio,1 bath,744 ftsq
#3F,"Off-Market on 05/09/2016 at $1,650,000",1 bed,1 bath,754 ftsq
#3G,"Off-Market on 05/24/2018 at $1,395,000",1 bed,1 bath,719 ftsq
#3H,"Sold on 06/08/2007 for $1,221,900",,,
#3J,"Off-Market on 03/11/2011 at $920,000",1 bed,1 bath,684 ftsq
#3K,"Off-Market on 03/08/2013 at $3,700",1 bed,1 bath,620 ftsq
#3L,"Off-Market on 05/13/2009 at $3,000",1 bed,1 bath,650 ftsq
#3M,"Off-Market on 12/06/2018 at $1,270,000",1 bed,1 bath,625 ftsq
#3N,"Off-Market on 07/30/2009 at $3,000",1 bed,1 bath,650 ftsq
#3P,"Off-Market on 02/02/2018 at $4,250",1 bed,1 bath,700 ftsq
#3Q,"Sold on 11/10/2010 for $835,000",1 bed,1 bath,684 ftsq
