#1E,Off-Market,,,
#1W,"Off-Market on 09/17/2012 at $1,750,000",2 beds,2 baths,"2,000 ftsq"
#2E,"Listed for sale at $3,595,000",3 beds,2.5 baths,"1,850 ftsq"
#2W,"Sold on 07/17/2012 for $2,000,000",1 bed,1 bath,"1,800 ftsq"
#3E,"Off-Market on 06/05/2017 at $2,475,000",2 beds,2 baths,"1,800 ftsq"
#4E,"Sold on 05/18/2012 for $2,195,000",,,
#4W,"Sold on 12/13/2017 for $2,295,000",2 beds,1 bath,"1,800 ftsq"
#5E,"Sold on 04/25/2013 for $2,200,000",2 beds,2.5 baths,"1,800 ftsq"
#5W,"Sold on 03/18/2009 for $1,350,000",2 beds,1 bath,
#6E,"Sold on 05/25/2018 for $2,240,000",2 beds,1 bath,"1,800 ftsq"
#6W,"Off-Market on 07/28/2011 at $7,900",2 beds,2 baths,"1,800 ftsq"
#7E,"Sold on 02/27/2007 for $1,849,000",2 beds,1 bath,"1,800 ftsq"
#7W,"Sold on 11/17/2015 for $3,525,000",3 beds,3 baths,"1,800 ftsq"
#8E,Off-Market,,,
#8W,Sold on 06/02/2011 for $0,,,
#9W,"Sold on 10/24/2006 for $2,320,000",,,
#RES,Off-Market,,,
