#,Off-Market,,,
#1,Off-Market,,,
#3,"Off-Market on 02/02/2016 at $6,900",3 beds,2 baths,"1,600 ftsq"
#1-3,Off-Market,,,
#33,"Off-Market on 01/07/2016 at $7,400",3 beds,2 baths,"1,600 ftsq"
