#0,Off-Market,,,"2,500 ftsq"
#2,"Off-Market on 12/11/2018 at $11,950",3 beds,2 baths,"2,500 ftsq"
#2,Off-Market,,,
#3,"Off-Market on 07/18/2017 at $9,975",4 beds,2 baths,"2,000 ftsq"
#4,"Off-Market on 07/07/2015 at $8,995",5 beds,2 baths,"2,500 ftsq"
#5,"Off-Market on 11/02/2017 at $9,250",5 beds,2 baths,"2,500 ftsq"
#5A,"Off-Market on 08/24/2017 at $10,500",5 beds,2 baths,
#5B,"Off-Market on 11/10/2017 at $8,995",3 beds,2 baths,
#R,"Off-Market on 01/21/2010 at $5,290",1 bed,2 baths,"2,500 ftsq"
#20,"Off-Market on 04/06/2015 at $12,500",studio,1 bath,
#PH,"Off-Market on 07/07/2015 at $9,800",2 beds,2 baths,"2,500 ftsq"
