#1,"Sold on 08/28/2013 for $10,200,000",,,"3,201 ftsq"
#2,"Off-Market on 12/05/2006 at $3,875,000",3 beds,3.5 baths,"3,021 ftsq"
#2,"Sold on 10/30/2006 for $3,767,525",,,"3,021 ftsq"
#2B,"Off-Market on 08/03/2011 at $6,000",2 beds,1 bath,"1,200 ftsq"
#2D,"Off-Market on 07/21/2009 at $7,000",3 beds,2.5 baths,"2,330 ftsq"
#3,"Off-Market on 12/05/2006 at $3,875,000",3 beds,3.5 baths,"3,021 ftsq"
#3,"Off-Market on 01/18/2018 at $5,750,000",3 beds,3.5 baths,"3,021 ftsq"
#3B,"Off-Market on 04/11/2012 at $5,500",2 beds,1 bath,"1,288 ftsq"
#4,"Off-Market on 05/26/2016 at $18,950",3 beds,3.5 baths,"3,021 ftsq"
#4,Sold on 11/30/2011 for $0,studio,1 bath,"1,500 ftsq"
#4B,"Off-Market on 04/04/2011 at $4,500",studio,1 bath,"1,275 ftsq"
#5,"Off-Market on 12/05/2006 at $4,750,000",3 beds,3.5 baths,"3,096 ftsq"
#5,"Sold on 10/03/2012 for $5,500,000",,,"3,096 ftsq"
#UNIT1,"Sold on 03/20/2012 for $13,800,000",,,
#UNIT2,"Sold on 11/19/2014 for $14,750,000",,,
PENTHOUSE,"Off-Market on 04/10/2018 at $7,850,000",3 beds,2.5 baths,"3,096 ftsq"
#PH5,"Sold on 06/28/2012 for $6,500,000",3 beds,2.5 baths,"3,200 ftsq"
