#1,Off-Market,,,
#2,"Off-Market on 12/11/2014 at $3,250",2 beds,1 bath,
#2C,"Off-Market on 10/20/2017 at $4,000",2 beds,1 bath,
#3F,"Off-Market on 09/02/2017 at $3,667",2 beds,1 bath,
#4,"Off-Market on 07/05/2017 at $3,483",2 beds,1 bath,
#5,"Off-Market on 07/06/2017 at $3,485",2 beds,1 bath,
#6,"Off-Market on 10/27/2017 at $3,675",1 bed,1 bath,800 ftsq
#7,"Off-Market on 03/06/2017 at $4,000",2 beds,1 bath,
#8,"Off-Market on 04/12/2014 at $2,395",studio,1 bath,
#9,"Off-Market on 03/06/2017 at $4,000",1 bed,1 bath,
#12,"Off-Market on 05/15/2018 at $3,700",2 beds,1 bath,
#20,"Off-Market on 12/30/2017 at $3,900",2 beds,1 bath,
#2-2,"Off-Market on 09/15/2018 at $3,700",2 beds,1 bath,
#22,"Listed for rent at $3,800",2 beds,1 bath,
#23,"Off-Market on 01/12/2018 at $2,490",studio,1 bath,
#24,"Off-Market on 11/03/2016 at $3,600",2 beds,1 bath,
#27,Off-Market,,,
#29,"Off-Market on 05/08/2018 at $3,400",1 bed,1 bath,500 ftsq
