#1706,"Off-Market on 01/05/2016 at $2,957",studio,1 bath,655 ftsq
#1707,"Off-Market on 06/21/2014 at $2,650",studio,1 bath,500 ftsq
#1709,"Off-Market on 01/31/2016 at $2,678",studio,1 bath,591 ftsq
#1710,"Off-Market on 08/28/2013 at $3,250",studio,1 bath,631 ftsq
#17-12,"Off-Market on 12/01/2016 at $2,856",studio,1 bath,
#1712,"Off-Market on 01/13/2016 at $3,040",studio,1 bath,633 ftsq
#1714,"Off-Market on 01/31/2016 at $2,700",studio,1 bath,519 ftsq
#1715,"Off-Market on 01/19/2016 at $3,167",3 beds,1 bath,725 ftsq
#1716,"Off-Market on 06/04/2014 at $3,325",studio,1 bath,646 ftsq
#1717,"Off-Market on 02/02/2018 at $2,824",studio,1 bath,570 ftsq
#1720,"Off-Market on 02/28/2018 at $4,000",1 bed,1 bath,775 ftsq
#1801,"Off-Market on 05/03/2017 at $5,072",2 beds,2 baths,"1,083 ftsq"
#1803,"Listed for rent at $2,999",studio,1 bath,570 ftsq
#1804,"Listed for rent at $3,257",2 beds,1 bath,750 ftsq
#1805,"Off-Market on 05/18/2018 at $3,553",studio,1 bath,
#1806,"Off-Market on 05/12/2014 at $3,500",studio,1 bath,570 ftsq
#1807,"Off-Market on 06/03/2017 at $2,695",studio,1 bath,425 ftsq
#1807CK,Off-Market,,,
#1808,"Off-Market on 08/29/2018 at $2,862",studio,1 bath,
#1809,"Off-Market on 05/30/2017 at $2,723",studio,1 bath,588 ftsq
#1811,"Off-Market on 12/21/2014 at $3,095",studio,1 bath,
#1813,"Off-Market on 09/08/2016 at $3,025",studio,1 bath,553 ftsq
#1814,"Off-Market on 08/25/2014 at $2,850",studio,1 bath,520 ftsq
#1815,"Off-Market on 08/03/2016 at $3,895",studio,1 bath,702 ftsq
#1817,"Off-Market on 08/30/2018 at $3,185",studio,1 bath,731 ftsq
#1901,"Off-Market on 07/31/2014 at $5,495",2 beds,2 baths,"1,090 ftsq"
#1902,"Off-Market on 11/30/2017 at $3,471",1 bed,1 bath,735 ftsq
#1904,"Off-Market on 10/28/2014 at $3,495",studio,1 bath,600 ftsq
#1905,"Off-Market on 04/12/2013 at $3,850",1 bed,1 bath,755 ftsq
#1907,"Off-Market on 09/08/2016 at $2,750",studio,1 bath,425 ftsq
#1909,"Off-Market on 09/02/2017 at $3,150",studio,1 bath,588 ftsq
#1910,"Off-Market on 09/21/2018 at $3,093",studio,1 bath,631 ftsq
#1911,"Off-Market on 06/14/2017 at $3,025",studio,1 bath,
#1912,"Off-Market on 04/04/2012 at $2,395",studio,1 bath,515 ftsq
#1913,"Off-Market on 03/27/2014 at $2,950",studio,1 bath,553 ftsq
#1914,"Off-Market on 01/28/2018 at $2,442",studio,1 bath,520 ftsq
#1915,"Off-Market on 08/21/2017 at $3,950",studio,1 bath,702 ftsq
#1916,"Off-Market on 06/03/2018 at $2,884",2 beds,1 bath,700 ftsq
#1917,"Off-Market on 01/15/2015 at $3,350",studio,1 bath,
