#2A,"Sold on 09/24/1999 for $866,000",,,"1,940 ftsq"
#2B,"Sold on 10/13/1999 for $456,500",,,"1,245 ftsq"
#3A,"Sold on 10/01/1999 for $911,500",,,"1,940 ftsq"
#3B,"Listed for sale at $2,300,000",studio,1 bath,"1,245 ftsq"
#4A,"Sold on 09/23/1999 for $866,000",,,"1,940 ftsq"
#4B,"Sold on 09/23/1999 for $424,500",,,"1,245 ftsq"
#5A,"Sold on 10/26/1999 for $1,680,500",,,"2,440 ftsq"
#5B,"Sold on 08/15/2018 for $4,600,000",,,"2,761 ftsq"
#P,"Sold on 09/14/2011 for $1,091,259",,,"2,750 ftsq"
#R,Off-Market,,,"2,740 ftsq"
#S,"Sold on 05/03/2017 for $432,756",,,"3,180 ftsq"
#PHB,"Off-Market on 08/20/2018 at $4,895,000",3 beds,3.5 baths,"3,050 ftsq"
#PH5B,"Off-Market on 08/01/2017 at $5,999,000",3 beds,3.5 baths,"2,671 ftsq"
