#1B,Off-Market,,,"2,200 ftsq"
#2B,"Off-Market on 05/04/2016 at $8,500",2 beds,1.5 baths,"2,200 ftsq"
#B,"Off-Market on 06/21/2018 at $8,200",2 beds,1.5 baths,"2,200 ftsq"
#FL,"Off-Market on 03/12/2014 at $8,000",2 beds,1.5 baths,"2,300 ftsq"
#GRD,"Off-Market on 02/09/2012 at $6,950",2 beds,2 baths,"2,500 ftsq"
