#0,Off-Market,,,
#1S,"Off-Market on 01/11/2016 at $13,000",1 bed,1 bath,"1,800 ftsq"
#2W,"Sold on 10/28/2016 for $2,800,000",2 beds,2 baths,
#3E,Off-Market,,,
#3W,"Sold on 12/22/2008 for $1,730,000",2 beds,1 bath,"1,800 ftsq"
#4E,"Listed for rent at $9,500",2 beds,2 baths,"1,700 ftsq"
#4W,Off-Market,,,
#5,"Off-Market on 03/27/2009 at $7,650",2 beds,2 baths,
#5E,Off-Market,,,
#5W,Off-Market,,,
#6E,Off-Market,,,
#6W,"Sold on 11/02/2006 for $1,500,000",3 beds,2 baths,"1,800 ftsq"
#7,Off-Market,,,
#7E,Off-Market,,,
#7W,"Sold on 08/01/2013 for $3,800,000",,,
#PH7W,"Sold on 11/01/2018 for $5,295,000",3 beds,2 baths,"2,000 ftsq"
