#3A,Off-Market,,,669 ftsq
#3B,Off-Market,,,632 ftsq
#3D,"Off-Market on 11/23/2015 at $16,500",3 beds,2 baths,"1,347 ftsq"
#3E,Off-Market,,,787 ftsq
#3F,Off-Market,,,"1,199 ftsq"
#3G,"Off-Market on 09/26/2013 at $2,595",studio,1 bath,564 ftsq
#3H,"Sold on 12/31/2005 for $8,963,523",,,724 ftsq
#3J,"Sold on 12/31/2005 for $6,678,703",,,558 ftsq
#3K,"Off-Market on 02/15/2015 at $2,825",studio,1 bath,557 ftsq
#3L,"Sold on 12/31/2005 for $173,141,134",,,610 ftsq
#3M,"Sold on 04/30/1997 for $350,000",,,"1,306 ftsq"
#3N,"Sold on 12/31/2005 for $173,141,134",,,"1,306 ftsq"
#3P,"Sold on 12/31/2005 for $173,141,134",,,717 ftsq
#3R,"Sold on 12/31/2005 for $173,141,134",,,797 ftsq
#3S,"Sold on 12/31/2005 for $173,141,134",,,610 ftsq
#4A,Off-Market,,,669 ftsq
#4B,Off-Market,,,632 ftsq
#4C,"Off-Market on 12/18/2017 at $5,500",2 beds,2 baths,"1,086 ftsq"
#4D,"Off-Market on 08/23/2016 at $6,950",3 beds,2 baths,"1,342 ftsq"
#4E,"Off-Market on 11/23/2015 at $6,600",1 bed,1 bath,771 ftsq
#4F,Off-Market,,,"1,199 ftsq"
#4G,"Sold on 12/31/2005 for $8,963,523",,,564 ftsq
#4H,"Sold on 12/31/2005 for $8,963,523",,,724 ftsq
#4J,"Sold on 12/31/2005 for $6,678,703",,,558 ftsq
#4K,"Off-Market on 12/18/2017 at $2,695",studio,1 bath,557 ftsq
#4L,"Sold on 12/31/2005 for $173,141,134",,,644 ftsq
#4M,"Sold on 12/31/2005 for $173,141,134",,,"1,306 ftsq"
#4N,"Off-Market on 10/13/2016 at $3,250",1 bed,1 bath,723 ftsq
#4P,"Off-Market on 11/23/2015 at $6,600",1 bed,1 bath,717 ftsq
#4R,"Sold on 12/31/2005 for $173,141,134",,,797 ftsq
#4S,"Off-Market on 12/18/2014 at $2,950",1 bed,1 bath,610 ftsq
#5A,Off-Market,,,669 ftsq
#5B,Off-Market,,,632 ftsq
#5C,"Listed for rent at $5,840",2 beds,2 baths,"1,097 ftsq"
#5D,Sold on 12/21/2012 for $0,3 beds,2 baths,"1,347 ftsq"
#5E,Off-Market,,,771 ftsq
#5F,"Off-Market on 09/27/2016 at $12,300",2 beds,2 baths,"1,199 ftsq"
#5G,"Off-Market on 11/23/2015 at $5,400",studio,1 bath,564 ftsq
#5H,"Sold on 12/31/2005 for $8,963,523",,,724 ftsq
#5J,"Sold on 12/31/2005 for $6,678,703",,,558 ftsq
#5K,Sold on 09/07/2018 for $0,,,557 ftsq
#5L,Off-Market,,,644 ftsq
#5P,"Off-Market on 07/13/2018 at $3,250",1 bed,1 bath,717 ftsq
#5R,"Sold on 12/31/2005 for $173,141,134",,,797 ftsq
#5S,"Sold on 12/31/2005 for $173,141,134",,,610 ftsq
#6A,Off-Market,,,624 ftsq
#6B,"Off-Market on 07/15/2014 at $6,000",1 bed,1 bath,588 ftsq
#6C,Off-Market,,,"1,097 ftsq"
#6D,"Off-Market on 07/17/2013 at $6,495",3 beds,2 baths,"1,347 ftsq"
#6E,Off-Market,,,771 ftsq
#6F,"Off-Market on 01/27/2014 at $5,500",2 beds,2 baths,"1,199 ftsq"
#6G,"Sold on 12/31/2005 for $8,963,523",,,564 ftsq
#6H,"Off-Market on 11/23/2015 at $6,600",1 bed,1 bath,724 ftsq
#6J,"Sold on 12/31/2005 for $6,678,703",,,558 ftsq
#6K,"Off-Market on 02/11/2015 at $3,150",studio,1 bath,557 ftsq
#6L,"Sold on 12/31/2005 for $173,141,134",,,644 ftsq
#6M,"Off-Market on 09/27/2016 at $16,950",3 beds,2 baths,"1,306 ftsq"
#6N,"Sold on 12/31/2005 for $173,141,134",,,723 ftsq
#6P,"Off-Market on 10/23/2018 at $3,550",1 bed,1 bath,717 ftsq
#6R,"Sold on 12/31/2005 for $173,141,134",,,753 ftsq
#6S,"Off-Market on 02/19/2015 at $3,100",1 bed,1 bath,566 ftsq
#7A,Sold on 05/25/2013 for $0,,,624 ftsq
#7B,"Off-Market on 10/23/2017 at $3,150",1 bed,1 bath,588 ftsq
#7C,"Off-Market on 11/06/2017 at $5,500",2 beds,2 baths,"1,097 ftsq"
#7D,Off-Market,,,"1,347 ftsq"
#7E,Off-Market,,,771 ftsq
#7F,Off-Market,,,"1,199 ftsq"
#7G,"Off-Market on 11/28/2017 at $2,850",studio,1 bath,564 ftsq
#7H,"Sold on 12/31/2005 for $8,963,523",,,724 ftsq
#7J,"Off-Market on 01/14/2018 at $2,795",studio,1 bath,558 ftsq
#7K,"Off-Market on 01/09/2018 at $2,795",studio,1 bath,557 ftsq
#7L,"Sold on 12/31/2005 for $173,141,134",,,644 ftsq
#7M,"Off-Market on 04/10/2015 at $6,450",2 beds,2 baths,"1,306 ftsq"
#7N,"Off-Market on 09/27/2016 at $6,750",1 bed,1 bath,723 ftsq
#7P,"Sold on 12/03/2001 for $220,000",,,717 ftsq
#7R,"Off-Market on 08/13/2018 at $3,550",1 bed,1 bath,753 ftsq
#7S,"Off-Market on 10/13/2016 at $550,000",studio,1 bath,566 ftsq
#8A,"Off-Market on 10/23/2018 at $3,350",1 bed,1 bath,624 ftsq
#8B,"Listed for sale at $599,000",1 bed,1 bath,588 ftsq
#8C,"Off-Market on 12/01/2017 at $5,245",2 beds,1 bath,"1,097 ftsq"
#8D,Off-Market,,,"1,347 ftsq"
#8E,Off-Market,,,771 ftsq
#8F,Off-Market,,,"1,199 ftsq"
#8G,"Off-Market on 08/14/2018 at $3,140",studio,1 bath,564 ftsq
#8H,"Off-Market on 04/24/2017 at $3,550",1 bed,1 bath,724 ftsq
#8J,"Off-Market on 10/09/2017 at $2,850",studio,1 bath,558 ftsq
#8K,"Off-Market on 06/05/2017 at $2,950",studio,1 bath,557 ftsq
#8L,"Off-Market on 05/15/2017 at $3,550",1 bed,1 bath,644 ftsq
#8M,"Off-Market on 08/27/2016 at $6,995",2 beds,2 baths,"1,306 ftsq"
#8N,"Sold on 12/31/2005 for $173,141,134",,,723 ftsq
#8P,"Sold on 12/31/2005 for $173,141,134",,,717 ftsq
#8R,"Sold on 12/31/2005 for $173,141,134",,,753 ftsq
#8S,"Off-Market on 07/17/2013 at $2,950",1 bed,1 bath,566 ftsq
#9A,Off-Market,,,669 ftsq
#9B,"Off-Market on 03/23/2018 at $3,450",1 bed,1 bath,632 ftsq
#9C,"Off-Market on 02/15/2018 at $5,650",2 beds,2 baths,"1,086 ftsq"
#9D,"Sold on 06/15/2000 for $845,000",,,"1,291 ftsq"
#9F,"Off-Market on 10/11/2012 at $4,750",2 beds,2 baths,"1,218 ftsq"
#9G,"Off-Market on 03/31/2017 at $3,050",studio,1 bath,564 ftsq
#9H,"Off-Market on 09/27/2016 at $6,750",1 bed,1 bath,797 ftsq
#9J,"Off-Market on 07/18/2018 at $3,140",studio,1 bath,558 ftsq
#9K,"Listed for rent at $3,050",studio,1 bath,557 ftsq
#9L,"Off-Market on 03/28/2017 at $3,300",1 bed,1 bath,644 ftsq
#9M,"Sold on 12/31/2005 for $173,141,134",,,"1,306 ftsq"
#9N,"Sold on 12/31/2005 for $173,141,134",,,723 ftsq
#9P,"Off-Market on 09/02/2015 at $3,500",1 bed,1 bath,707 ftsq
#9R,"Sold on 12/31/2005 for $173,141,134",,,797 ftsq
#9S,"Off-Market on 05/01/2017 at $3,250",1 bed,1 bath,610 ftsq
#10A,"Off-Market on 09/27/2016 at $6,150",1 bed,1 bath,624 ftsq
#10B,"Off-Market on 04/26/2018 at $3,095",1 bed,1 bath,588 ftsq
#10C,"Off-Market on 08/27/2016 at $4,995",2 beds,2 baths,"1,086 ftsq"
#10D,Off-Market,,,"1,291 ftsq"
#10F,"Off-Market on 09/18/2014 at $6,250",2 beds,2 baths,"1,218 ftsq"
#10G,"Off-Market on 06/03/2016 at $3,195",studio,1 bath,564 ftsq
#10H,"Off-Market on 04/26/2018 at $3,315",1 bed,1 bath,724 ftsq
#10J,"Off-Market on 09/04/2017 at $2,850",studio,1 bath,558 ftsq
#10K,"Off-Market on 08/02/2017 at $2,850",studio,1 bath,557 ftsq
#10L,"Off-Market on 02/26/2017 at $2,995",1 bed,1 bath,644 ftsq
#10M,"Off-Market on 01/08/2017 at $7,250",2 beds,2 baths,"1,306 ftsq"
#10N,"Sold on 12/31/2005 for $173,141,134",,,723 ftsq
#10P,"Sold on 12/31/2005 for $173,141,134",,,717 ftsq
#10R,"Sold on 12/31/2005 for $173,141,134",,,753 ftsq
#10S,"Off-Market on 04/25/2007 at $2,700",1 bed,1 bath,580 ftsq
#11A,"Sold on 10/13/2017 for $465,000",1 bed,1 bath,600 ftsq
#11B,Off-Market,,,588 ftsq
#11C,"Listed for rent at $5,650",2 beds,2 baths,"1,086 ftsq"
#11D,"Sold on 12/01/2011 for $1,675,000",,,"1,291 ftsq"
#11F,"Sold on 12/01/2011 for $1,675,000",1 bed,2 baths,800 ftsq
#11G,"Off-Market on 04/28/2018 at $3,195",studio,1 bath,564 ftsq
#11H,"Sold on 12/31/2005 for $8,963,523",,,724 ftsq
#11DF,"Sold on 12/05/2011 for $1,795,000",6 beds,5 baths,"2,500 ftsq"
#11J,"Sold on 12/31/2005 for $6,678,703",,,558 ftsq
#11K,"Off-Market on 07/10/2018 at $3,150",studio,1 bath,557 ftsq
#11L,"Sold on 04/25/2011 for $428,500",1 bed,1 bath,644 ftsq
#11M,"Off-Market on 08/02/2012 at $5,595",2 beds,2 baths,"1,350 ftsq"
#11N,"Off-Market on 02/26/2018 at $3,595",1 bed,1 bath,723 ftsq
#11P,"Off-Market on 10/19/2018 at $3,600",1 bed,1 bath,717 ftsq
#11R,"Off-Market on 02/26/2017 at $3,250",1 bed,1 bath,753 ftsq
#11S,"Off-Market on 11/23/2015 at $6,000",1 bed,1 bath,566 ftsq
#12,"Off-Market on 08/20/2014 at $7,425",1 bed,1 bath,850 ftsq
#12A,"Off-Market on 11/08/2016 at $3,050",1 bed,1 bath,624 ftsq
#12B,Off-Market,,,588 ftsq
#12C,"Off-Market on 07/16/2016 at $5,995",2 beds,2 baths,968 ftsq
#12D,"Off-Market on 04/26/2013 at $6,050",2 beds,2.5 baths,"1,342 ftsq"
#12E,Off-Market,,,708 ftsq
#12F,"Off-Market on 09/09/2015 at $4,150",1 bed,1 bath,699 ftsq
#12G,"Sold on 12/31/2005 for $8,963,523",,,"1,202 ftsq"
#12H,"Off-Market on 01/25/2017 at $4,800",1.5 beds,1 bath,850 ftsq
#12J,"Off-Market on 11/19/2016 at $3,200",1 bed,1 bath,539 ftsq
#12K,"Off-Market on 12/13/2016 at $3,150",1 bed,1 bath,610 ftsq
#13C,"Off-Market on 08/16/2016 at $5,025",2 beds,2 baths,
#14,"Off-Market on 09/26/2014 at $6,325",2 beds,2.5 baths,
#14A,"Off-Market on 11/15/2016 at $3,150",1 bed,1 bath,624 ftsq
#14B,"Sold on 10/13/1998 for $200,000",,,588 ftsq
#14C,"Sold on 04/09/1998 for $335,000",,,"1,097 ftsq"
#14D,Sold on 03/17/2016 for $0,,,
#14E,"Sold on 02/13/2003 for $380,000",,,708 ftsq
#14F,Off-Market,,,699 ftsq
#14G,"Sold on 04/22/2002 for $690,000",,,"1,202 ftsq"
#14H,"Off-Market on 10/25/2016 at $5,195",2 beds,1 bath,850 ftsq
#14J,"Off-Market on 11/15/2016 at $3,150",1 bed,1 bath,639 ftsq
#14K,"Off-Market on 05/24/2018 at $3,495",1 bed,1 bath,610 ftsq
#15,"Off-Market on 08/20/2014 at $3,250",1 bed,1 bath,624 ftsq
#15A,"Off-Market on 09/17/2018 at $3,650",2 beds,1 bath,645 ftsq
#15B,"Off-Market on 12/03/2016 at $3,100",1 bed,1 bath,588 ftsq
#15C,"Sold on 05/16/2005 for $749,000",,,"1,097 ftsq"
#15D,"Off-Market on 10/05/2016 at $7,750",2 beds,2.5 baths,"1,342 ftsq"
#15E,Off-Market,,,708 ftsq
#15G,"Sold on 12/31/2005 for $8,963,523",,,564 ftsq
#15J,"Off-Market on 02/07/2017 at $3,250",1 bed,1 bath,639 ftsq
#15K,"Sold on 03/18/2005 for $355,000",,,610 ftsq
#15N,"Off-Market on 11/14/2016 at $3,525",1 bed,1 bath,
#16,"Off-Market on 08/08/2016 at $3,025",studio,1 bath,
#16A,"Sold on 06/15/2018 for $530,250",,,624 ftsq
#16B,"Off-Market on 03/08/2016 at $3,150",studio,1 bath,588 ftsq
#16C,"Sold on 01/25/2018 for $1,120,000",2 beds,2 baths,"1,100 ftsq"
#16D,"Off-Market on 07/31/2016 at $12,500",2 beds,2.5 baths,"1,342 ftsq"
