#1A,Off-Market,,,
#2,"Off-Market on 11/13/2018 at $8,895",4 beds,2.5 baths,"2,550 ftsq"
#2A,Off-Market,,,
#3A,Off-Market,,,
#4,"Off-Market on 10/05/2012 at $7,995",6 beds,2.5 baths,"2,764 ftsq"
#4A,Sold on 07/18/2012 for $0,,,
#C1,Off-Market,,,
#5,"Off-Market on 07/27/2010 at $2,795,000",2 beds,2.5 baths,"2,864 ftsq"
#5A,Sold on 07/18/2012 for $0,,,
#6,"Off-Market on 07/16/2010 at $8,495",5 beds,2 baths,"2,864 ftsq"
#6A,Sold on 07/18/2012 for $0,,,
PENTHOUSE,"Off-Market on 09/26/2011 at $3,250,000",3 beds,4.5 baths,"4,300 ftsq"
#PH,"Off-Market on 09/21/2011 at $11,500",5 beds,4.5 baths,"4,350 ftsq"
#PH6,"Off-Market on 01/12/2017 at $12,000",3 beds,4 baths,"4,300 ftsq"
