#2,"Off-Market on 03/16/2010 at $25,000",5 beds,3.5 baths,
#3,"Off-Market on 01/30/2010 at $12,125",3 beds,3 baths,
#APT1,"Off-Market on 02/24/2016 at $55,000",7 beds,7+ baths,"8,065 ftsq"
#TWNH,Off-Market,,,"10,000 ftsq"
#TRPLX,"Off-Market on 10/22/2015 at $58,000",3 beds,3.5 baths,"4,140 ftsq"
TRIPLEX,"Off-Market on 11/04/2015 at $58,000",3 beds,3.5 baths,
#TH,"Off-Market on 02/24/2016 at $65,000",7 beds,7+ baths,"8,065 ftsq"
