#0,Off-Market,,,700 ftsq
#1,Off-Market,2 beds,1 bath,700 ftsq
#1G,Off-Market,2 beds,1 bath,
#2A,"Off-Market on 10/14/2008 at $3,500",studio,1 bath,825 ftsq
#2B,Sold on 01/03/2008 for $0,,,853 ftsq
#2C,Off-Market,,,747 ftsq
#2D,"Sold on 01/11/2016 for $3,304,221",,,"2,143 ftsq"
#2F,Off-Market,studio,1 bath,
#3,"Off-Market on 01/12/2012 at $6,000,000",2 beds,2 baths,"4,819 ftsq"
#3A,"Sold on 01/10/2012 for $5,800,000",,,"1,370 ftsq"
#3B,"Sold on 01/10/2012 for $5,800,000",,,"3,368 ftsq"
#4A,Sold on 08/15/2012 for $0,,,"4,819 ftsq"
#5A,"Sold on 12/23/2003 for $1,300,000",,,"1,419 ftsq"
#5B,"Sold on 04/08/2008 for $1,975,000",3 beds,2 baths,"1,263 ftsq"
#5A/B,Off-Market,,,
#5C,"Sold on 06/26/1997 for $460,000",,,"1,652 ftsq"
#F,"Off-Market on 10/19/2018 at $2,000",studio,1 bath,
#G,Off-Market,,,700 ftsq
#RES,Off-Market,,,"3,630 ftsq"
#STOR,Off-Market,,,"2,718 ftsq"
#PH,"Sold on 07/01/1996 for $1,518,000",,,"7,069 ftsq"
