#1,"Sold on 04/21/2015 for $6,500,000",4 beds,3 baths,"4,562 ftsq"
#2F,"Off-Market on 09/30/2009 at $2,000",studio,1 bath,400 ftsq
SINGLE-FAMIL,"Listed for sale at $9,900,000",5 beds,6+ baths,"8,882 ftsq"
SINGLE-FAMILY,Off-Market,5 beds,6+ baths,"8,882 ftsq"
