#1,"Sold on 03/31/2016 for $90,000",,,
#3,"Off-Market on 07/04/2018 at $489,000",studio,1 bath,350 ftsq
#B6,"Off-Market on 08/28/2018 at $539,000",1 bed,1 bath,
#4,"Off-Market on 02/16/2016 at $2,600",1 bed,1 bath,400 ftsq
#5,"Off-Market on 12/16/2017 at $2,500",1 bed,1 bath,
#5,Off-Market,,,
#6,"Listed for sale at $485,000",1 bed,1 bath,
#7,Off-Market,,,
#10,Off-Market,,,
#11,"Sold on 12/12/2013 for $300,000",1 bed,1 bath,
#17,"Off-Market on 08/24/2009 at $2,650",3 beds,1.5 baths,"1,000 ftsq"
#19,Off-Market,,,
#22,"Sold on 08/23/2013 for $325,000",,,
#24,"Off-Market on 05/24/2011 at $390,000",1 bed,1 bath,
#5/6,"Off-Market on 08/28/2018 at $999,000",3 beds,2 baths,
#5/6,Off-Market,3 beds,2 baths,
#5/6,Off-Market,3 beds,2 baths,
#5/6,Off-Market,3 beds,2 baths,
#17-18,"Sold on 08/30/2017 for $875,000",2 beds,1.5 baths,871 ftsq
#17/18,Off-Market,,,
#1718,"Sold on 08/28/2017 for $805,000",,,
17AND18,Off-Market,,,871 ftsq
#19-20,"Sold on 02/13/2010 for $575,000",2 beds,1 bath,820 ftsq
#1920,"Sold on 02/12/2010 for $518,950",2 beds,1 bath,820 ftsq
