#2A,Off-Market,,,
#2D,Off-Market,,,
#2B/C,Off-Market,,,
#2F,Off-Market,,,
#3A,"Sold on 09/22/2015 for $2,075,000",2 beds,1.5 baths,"1,290 ftsq"
#3E,Off-Market,,,
#3BCD,"Sold on 10/16/2007 for $7,300,000",,,
#4A,"Sold on 08/17/2017 for $1,960,000",2 beds,2 baths,
#4B,Off-Market,,,
#4C,Off-Market,,,
#4D,Off-Market,,,
#5A,"Sold on 06/11/2007 for $1,135,564",,,
#5D,Off-Market,,,
#5E,Off-Market,,,
#5C/D,Off-Market,,,
#6A,"Sold on 01/23/2017 for $712,520",,,"1,270 ftsq"
#6D,"Sold on 12/18/2017 for $2,500,000",1 bed,1.5 baths,"1,600 ftsq"
#6E,Off-Market,,,
#6EF,Off-Market,,,
#7A,"Sold on 11/15/2007 for $1,387,500",1 bed,1 bath,"1,270 ftsq"
#7B,"Sold on 02/27/2008 for $1,600,000",,,
#7A/B,Off-Market,,,
#7C,"Sold on 11/13/2012 for $1,500,000",,,
#7D,"Sold on 05/09/2007 for $1,850,000",2 beds,2 baths,"1,500 ftsq"
#7E,"Sold on 05/13/2010 for $1,900,000",,,
#7EF,"Sold on 05/15/2010 for $1,950,000",2 beds,2 baths,"2,200 ftsq"
#8D,"Listed for sale at $3,200,000",3 beds,2 baths,"1,610 ftsq"
#8B/C,Off-Market,,,
#8BC,Off-Market,,,
#9B,Off-Market,,,
#9C,"Sold on 07/17/2013 for $1,575,000",1 bed,1 bath,"1,200 ftsq"
#9E,Off-Market,,,
#10A,Sold on 04/16/2012 for $0,,,
#10B,Off-Market,,,
#10C,Off-Market,,,
#10D,Off-Market,,,
#10E,Off-Market,,,
#10F,Off-Market,,,
#8A/9A,Off-Market,,,
#9E/10F,Off-Market,,,
#9E10F,Off-Market,,,
