#1,"Off-Market on 08/07/2018 at $25,000",5 beds,4.5 baths,"3,200 ftsq"
TOWNHOUSE,"Off-Market on 06/01/2015 at $25,000",4 beds,5.5 baths,"3,200 ftsq"
#2-3-4,"Off-Market on 06/05/2013 at $22,000",4 beds,5.5 baths,
