#2007,"Off-Market on 07/28/2017 at $4,250",1 bed,1 bath,
#2008,"Off-Market on 07/17/2018 at $6,950",2 beds,2 baths,"1,100 ftsq"
#2018,"Off-Market on 02/25/2010 at $3,200",studio,1 bath,555 ftsq
#2025,"Off-Market on 03/04/2010 at $3,200",studio,1 bath,"1,135 ftsq"
#2104,"Off-Market on 02/11/2011 at $2,945",1 bed,1 bath,590 ftsq
#2105,"Off-Market on 09/22/2017 at $4,135",1 bed,1 bath,700 ftsq
#2106,"Off-Market on 09/15/2015 at $6,800",2 beds,2 baths,
#2107,"Off-Market on 01/10/2012 at $3,290",1 bed,1 bath,
#2108,"Off-Market on 08/10/2018 at $6,900",2 beds,2 baths,"1,081 ftsq"
#2111,"Off-Market on 02/18/2011 at $2,945",1 bed,1 bath,590 ftsq
#2112,"Off-Market on 02/11/2013 at $3,500",1 bed,1 bath,668 ftsq
#2202,"Off-Market on 05/24/2016 at $4,500",1 bed,1 bath,
#2204,"Off-Market on 02/14/2017 at $6,300",2 beds,2 baths,940 ftsq
#2205,"Off-Market on 08/02/2016 at $4,125",1 bed,1 bath,"1,123 ftsq"
#2206,"Off-Market on 07/31/2018 at $7,400",2 beds,2 baths,
#2207,"Off-Market on 01/20/2012 at $3,310",1 bed,1 bath,
#2208,"Off-Market on 04/15/2016 at $6,346",2 beds,2 baths,
#2211,"Off-Market on 02/11/2013 at $5,655",2 beds,2 baths,"1,123 ftsq"
#2212,"Off-Market on 02/18/2010 at $4,165",2 beds,2 baths,940 ftsq
#2218,"Off-Market on 02/25/2010 at $4,500",2 beds,2 baths,940 ftsq
#2304,"Off-Market on 04/12/2013 at $5,600",2 beds,2 baths,
#2305,"Off-Market on 12/13/2018 at $3,992",1 bed,1 bath,700 ftsq
#2306,"Off-Market on 10/03/2017 at $6,700",2 beds,2 baths,
#2307,"Off-Market on 03/14/2017 at $4,250",1 bed,1 bath,
#2308,"Off-Market on 06/07/2016 at $6,200",2 beds,2 baths,
#2312,"Off-Market on 02/18/2010 at $2,300",studio,1 bath,555 ftsq
#2402,"Off-Market on 04/25/2017 at $4,750",1 bed,1 bath,
