#11,"Off-Market on 07/18/2011 at $1,695",1 bed,1 bath,
#15,"Off-Market on 03/02/2010 at $1,600",1 bed,1 bath,
#18,"Off-Market on 01/11/2010 at $2,100",2 beds,1 bath,
