#3,Off-Market,,,940 ftsq
#3A,"Off-Market on 06/12/2018 at $3,250",1 bed,1 bath,595 ftsq
#3B,"Off-Market on 04/17/2018 at $3,710",1 bed,1 bath,750 ftsq
#3C,"Off-Market on 08/11/2016 at $2,995",1 bed,1 bath,591 ftsq
#3D,"Off-Market on 02/23/2018 at $3,964",2 beds,2 baths,862 ftsq
#3E,"Off-Market on 02/28/2018 at $2,580",1 bed,1 bath,625 ftsq
#3G,"Off-Market on 08/01/2018 at $2,550",studio,1 bath,427 ftsq
#3J,"Off-Market on 08/06/2018 at $2,450",studio,1 bath,420 ftsq
#3K,"Off-Market on 11/28/2018 at $4,250",2 beds,1 bath,835 ftsq
#3O,"Off-Market on 01/07/2017 at $2,625",studio,1 bath,430 ftsq
#3P,"Off-Market on 10/27/2016 at $3,500",2 beds,1 bath,940 ftsq
#C,"Off-Market on 04/24/2010 at $2,554",2 beds,1 bath,
#4A,"Off-Market on 02/24/2017 at $2,874",1 bed,1 bath,595 ftsq
#4B,"Off-Market on 12/05/2016 at $3,650",1 bed,1 bath,750 ftsq
#4C,"Off-Market on 06/15/2016 at $3,175",1 bed,1 bath,591 ftsq
#4D,"Off-Market on 05/21/2018 at $4,450",2 beds,2 baths,860 ftsq
#4E,"Off-Market on 12/06/2018 at $3,000",studio,1 bath,645 ftsq
#4G,"Off-Market on 06/12/2018 at $2,550",studio,1 bath,427 ftsq
#4J,"Off-Market on 09/24/2017 at $2,565",studio,1 bath,420 ftsq
#4K,"Off-Market on 07/27/2017 at $4,295",2 beds,1 bath,"8,312 ftsq"
#4M,"Off-Market on 11/30/2017 at $4,610",2 beds,2 baths,880 ftsq
#5A,"Off-Market on 03/17/2017 at $2,781",1 bed,1 bath,596 ftsq
#5B,Off-Market,,,750 ftsq
#5C,"Off-Market on 06/01/2017 at $2,793",1 bed,1 bath,591 ftsq
#5D,"Off-Market on 07/18/2018 at $4,800",2 beds,2 baths,862 ftsq
