#1,"Off-Market on 02/01/2017 at $12,750",3 beds,3 baths,"2,404 ftsq"
#2,"Off-Market on 11/13/2017 at $5,500",2 beds,1 bath,800 ftsq
#3,"Off-Market on 01/04/2011 at $4,500",2 beds,1 bath,
GRDDPLX,"Off-Market on 02/15/2014 at $11,000",3 beds,3 baths,
#PH,"Off-Market on 02/01/2017 at $6,000",2 beds,1 bath,"1,100 ftsq"
