#11A,"Off-Market on 08/09/2016 at $8,095",3 beds,3 baths,"1,698 ftsq"
#11B,"Off-Market on 04/29/2015 at $7,000",2 beds,2.5 baths,"1,404 ftsq"
#11C,"Off-Market on 08/06/2018 at $5,975",2 beds,2 baths,"1,150 ftsq"
#11D,"Sold on 08/25/2015 for $995,000",1 bed,1 bath,875 ftsq
#11F,"Sold on 10/29/2010 for $1,810,000",,,
#11G,"Off-Market on 05/29/2018 at $5,500",2 beds,2 baths,"1,190 ftsq"
#12A,"Sold on 02/07/2007 for $1,577,269",,,
#12B,"Sold on 06/29/2017 for $1,945,000",2 beds,2.5 baths,"1,404 ftsq"
#12C,"Sold on 12/21/2006 for $1,052,500",,,
#12D,"Off-Market on 03/18/2016 at $3,995",1 bed,1.5 baths,875 ftsq
#12E,"Off-Market on 08/15/2014 at $7,350",2 beds,2.5 baths,"1,526 ftsq"
#12F,"Off-Market on 08/06/2018 at $10,900",3 beds,3.5 baths,"2,097 ftsq"
#12G,"Sold on 07/21/2015 for $1,325,000",2 beds,2 baths,"1,190 ftsq"
#12EE,"Off-Market on 02/02/2009 at $6,000",2 beds,2.5 baths,"1,526 ftsq"
#14A,"Sold on 07/06/2015 for $2,500,000",3 beds,3 baths,"1,700 ftsq"
#14B,"Off-Market on 06/04/2018 at $7,450",2 beds,2.5 baths,"1,404 ftsq"
#14C,Sold on 12/08/2016 for $0,,,
#14D,"Off-Market on 08/07/2018 at $3,800",1 bed,1.5 baths,875 ftsq
#14E,"Off-Market on 09/13/2016 at $7,450",2 beds,2.5 baths,"1,536 ftsq"
#14F,"Sold on 05/08/2013 for $2,247,500",3 beds,3.5 baths,"2,097 ftsq"
#14G,"Off-Market on 07/01/2014 at $5,500",2 beds,2 baths,"1,200 ftsq"
#14AUNF,"Off-Market on 10/29/2009 at $6,500",3 beds,3 baths,"1,698 ftsq"
#15A,"Sold on 01/25/2007 for $1,689,276",,,
#15B,"Sold on 03/12/2018 for $1,897,000",2 beds,2.5 baths,"1,404 ftsq"
#15C,"Sold on 12/15/2017 for $1,510,000",2 beds,2 baths,"1,150 ftsq"
#15D,"Off-Market on 12/14/2018 at $3,995",1 bed,1.5 baths,875 ftsq
#15E,"Off-Market on 02/02/2017 at $2,288,000",2 beds,2.5 baths,"1,526 ftsq"
#15F,"Sold on 05/29/2007 for $2,132,215",,,
#15G,"Sold on 02/14/2007 for $1,206,626",,,
#16A,"Off-Market on 09/16/2016 at $8,600",3 beds,3 baths,"1,698 ftsq"
#16B,"Off-Market on 09/14/2018 at $7,300",2 beds,2.5 baths,"1,404 ftsq"
#16C,Sold on 06/11/2018 for $0,,,
#16D,"Listed for rent at $3,995",1 bed,1.5 baths,875 ftsq
#16E,"Off-Market on 07/14/2017 at $7,200",2 beds,2 baths,"1,526 ftsq"
#16F,"Off-Market on 07/14/2018 at $13,000",3 beds,3.5 baths,
#16G,"Listed for rent at $6,200",2 beds,2 baths,"1,190 ftsq"
#17A,"Sold on 10/05/2012 for $1,900,000",3 beds,3 baths,"1,698 ftsq"
#17B,"Off-Market on 09/11/2018 at $7,300",2 beds,2.5 baths,"1,404 ftsq"
#17C,"Off-Market on 05/29/2014 at $5,700",2 beds,2 baths,"1,150 ftsq"
#17D,"Sold on 09/08/2017 for $1,060,000",1 bed,1.5 baths,875 ftsq
#17E,"Sold on 02/12/2013 for $1,695,000",2 beds,2 baths,"1,526 ftsq"
#17G,"Sold on 12/15/2016 for $1,795,000",2 beds,2 baths,"1,190 ftsq"
#18A,"Sold on 02/27/2007 for $1,764,118",,,
#18B,"Off-Market on 02/23/2018 at $7,100",2 beds,2.5 baths,"1,404 ftsq"
#18C,"Sold on 02/07/2017 for $1,551,375",2 beds,2 baths,"1,150 ftsq"
#18D,"Sold on 07/28/2015 for $3,900,000",,,
#18E,"Sold on 07/28/2015 for $3,900,000",,,
#18F,"Sold on 02/13/2012 for $2,400,000",3 beds,3.5 baths,"2,097 ftsq"
#18G,"Sold on 06/21/2013 for $1,425,000",2 beds,2 baths,"1,190 ftsq"
#18DE,"Off-Market on 12/05/2018 at $14,500",4 beds,4 baths,"2,401 ftsq"
#19A,"Off-Market on 05/25/2018 at $9,950",3 beds,3 baths,"1,698 ftsq"
#19B,Sold on 11/16/2016 for $10,2 beds,2.5 baths,"1,404 ftsq"
#19C,"Off-Market on 04/26/2016 at $5,495",2 beds,2 baths,"1,150 ftsq"
#19D,"Listed for sale at $1,180,000",1 bed,1.5 baths,875 ftsq
