#1A,Off-Market,,,
#1A,"Sold on 08/01/2005 for $899,000",,,442 ftsq
#1B,"Sold on 08/01/2005 for $899,000",,,616 ftsq
#1AB,"Off-Market on 11/01/2012 at $1,100,000",2 beds,2 baths,"1,058 ftsq"
#1C,"Off-Market on 12/09/2015 at $2,500",1 bed,1 bath,624 ftsq
#2,"Off-Market on 08/15/2016 at $2,495",1 bed,1 bath,
#2A,"Sold on 04/18/2002 for $227,500",,,442 ftsq
#2B,"Listed for rent at $2,500",studio,1 bath,650 ftsq
#2C,"Off-Market on 02/28/2012 at $2,000",studio,1 bath,614 ftsq
#2/D,"Off-Market on 04/06/2017 at $500,000",studio,1 bath,
#2/D,Off-Market,,,
#2D,"Sold on 06/23/2017 for $550,000",studio,1 bath,440 ftsq
#3C,"Off-Market on 12/24/2017 at $2,100",2 beds,1 bath,
#3AB,"Sold on 11/13/2013 for $1,027,000",2 beds,2 baths,"1,054 ftsq"
#3CD,"Sold on 03/28/2007 for $945,000",2 beds,2 baths,"1,050 ftsq"
#3J,"Off-Market on 11/12/2015 at $1,690",1 bed,1 bath,700 ftsq
#4AB,"Sold on 11/24/2009 for $775,000",1 bed,2 baths,"1,050 ftsq"
#4CD,"Sold on 02/21/2001 for $535,000",,,"1,054 ftsq"
#5AB,"Sold on 03/27/2017 for $1,085,000",2 beds,2 baths,"1,054 ftsq"
#5CD,"Sold on 11/05/2003 for $725,000",,,"1,054 ftsq"
#6AB,"Sold on 09/08/2004 for $950,000",,,"1,048 ftsq"
#6CD,"Sold on 11/24/2009 for $976,000",,,"1,054 ftsq"
#14,Off-Market,,,
#LLA,"Listed for sale at $895,000",1 bed,1 bath,617 ftsq
#LLB,"Sold on 06/21/2000 for $152,000",,,342 ftsq
#174,Off-Market,,,
#PHC,"Sold on 12/01/2009 for $999,950",1 bed,2 baths,
