#1,Off-Market,,,
#1STF,Off-Market,,,
#2,"Off-Market on 03/17/2009 at $12,000",4 beds,2 baths,"3,200 ftsq"
#3,"Sold on 12/23/2014 for $4,750,000",3 beds,2 baths,"3,000 ftsq"
#5,"Sold on 09/28/2006 for $2,650,000",,,"3,000 ftsq"
#6R,"Sold on 12/17/2004 for $975,000",,,
#7,Off-Market,,,
#5/6,Off-Market,,,
#MEZZ,Off-Market,,,
