#1,Off-Market,,,
#2,"Sold on 09/22/2016 for $5,500,000",3 beds,3 baths,
#2A,"Off-Market on 09/02/2014 at $15,000",3 beds,2 baths,"3,000 ftsq"
#2E,"Sold on 04/10/2007 for $990,000",,,
#2W,"Sold on 04/10/2007 for $1,610,000",,,
#3,"Off-Market on 10/21/2009 at $2,400,000",studio,2.5 baths,"3,000 ftsq"
#3E,"Sold on 10/20/2009 for $980,000",,,
#3W,"Sold on 10/20/2009 for $980,000",,,
#3HALL,"Sold on 06/01/2010 for $26,400",,,
#4,"Sold on 10/24/2018 for $4,413,000",3 beds,2 baths,"3,000 ftsq"
#4W,Off-Market,,,
#5W,"Sold on 05/04/2018 for $2,275,000",1 bed,1 bath,"1,700 ftsq"
#6W,Off-Market,,,
#7E,"Sold on 02/03/2009 for $1,150,000",,,
#7W,"Sold on 02/03/2009 for $2,300,000",,,
#10F,Off-Market,,,
#2E/2W,Off-Market,,,
#3E3W,Off-Market,,,
#PH,"Listed for sale at $10,500,000",3 beds,3.5 baths,"3,000 ftsq"
