#1,Off-Market,,,
#2,"Off-Market on 07/28/2008 at $11,500",1 bed,2 baths,"2,454 ftsq"
#3,"Off-Market on 10/20/2007 at $2,200,000",1 bed,2 baths,"2,457 ftsq"
#4,"Off-Market on 01/07/2014 at $10,995",2 beds,2 baths,"2,500 ftsq"
#6,"Sold on 08/04/2006 for $2,662,723",,,
#PH,"Off-Market on 12/22/2018 at $15,000",1 bed,2 baths,"2,500 ftsq"
