#1,Off-Market,,,"2,400 ftsq"
#3,Off-Market,,,
#4/5,"Off-Market on 03/21/2018 at $4,995,000",4 beds,3 baths,
#PH,"Off-Market on 12/22/2018 at $4,000,000",3 beds,2 baths,"4,500 ftsq"
