#2,"Off-Market on  at $30,000",4 beds,4 baths,"4,157 ftsq"
#3,"Sold on 07/13/2017 for $7,100,000",3 beds,3 baths,"4,108 ftsq"
#3,"Sold on 07/13/2017 for $7,100,000",3 beds,3 baths,"4,108 ftsq"
#4,"Off-Market on 03/22/2018 at $27,500",4 beds,4 baths,"4,157 ftsq"
#4,"Off-Market on 10/04/2013 at $36,000",4 beds,4 baths,"4,000 ftsq"
#5,"Listed for sale at $8,500,000",3 beds,2.5 baths,"4,157 ftsq"
#6,Sold on 07/01/2016 for $0,,,"8,828 ftsq"
#COMM,"Sold on 10/11/2007 for $3,248,482",,,"7,423 ftsq"
FLOORS-7891,"Off-Market on 03/04/2015 at $17,500,000",3 beds,3+ baths,
#PH,"Sold on 03/04/2015 for $24,500,000",7 beds,4+ baths,"10,911 ftsq"
