#2,"Off-Market on 05/07/2018 at $3,450",2 beds,1 bath,650 ftsq
#2A,"Off-Market on 01/13/2017 at $3,250",2 beds,1 bath,
#4,"Off-Market on 01/24/2018 at $3,800",2 beds,1 bath,700 ftsq
#5,"Off-Market on 08/16/2018 at $4,000",2 beds,1 bath,650 ftsq
#6,"Off-Market on 12/21/2017 at $3,750",2 beds,1 bath,700 ftsq
#8,"Off-Market on 01/18/2018 at $3,900",3 beds,1 bath,700 ftsq
#9,"Off-Market on 01/18/2018 at $4,000",3 beds,1 bath,700 ftsq
#10,"Off-Market on 03/29/2010 at $1,950",2 beds,1 bath,
#11,"Off-Market on 08/28/2018 at $4,000",2 beds,1 bath,750 ftsq
#K1603,Off-Market,,,
#14,"Off-Market on 11/14/2017 at $3,800",3 beds,1 bath,750 ftsq
#15,"Off-Market on 10/31/2018 at $3,600",2 beds,1 bath,700 ftsq
#16,"Off-Market on 02/06/2018 at $3,500",2 beds,1 bath,650 ftsq
#17,"Off-Market on 12/15/2017 at $4,250",3 beds,1 bath,725 ftsq
#19,"Off-Market on 10/31/2018 at $3,500",2 beds,1 bath,700 ftsq
NINETEEN,"Off-Market on 10/18/2018 at $3,700",2 beds,1 bath,700 ftsq
SIXTEEN,"Off-Market on 01/05/2018 at $3,400",2 beds,1 bath,700 ftsq
