#A106,Off-Market,,,
#A403,Off-Market,,,
#A504,Off-Market,,,"1,000 ftsq"
#A507,Off-Market,,,
#A601,Off-Market,,,
#A806,"Off-Market on 04/06/2007 at $825,000",2 beds,1 bath,
#A901,Off-Market,,,
#A902,Off-Market,,,
#A1307,Off-Market,,,
#A1702,Off-Market,,,
#A1706,Off-Market,,,
#A1707,Off-Market,,,
#B507,Off-Market,,,
#B904,Off-Market,,,
#B906,Off-Market,,,
#B1706,Off-Market,,,
#C103,Off-Market,,,
#C104,Off-Market,,,
#C105,Off-Market,,,
#C307,Off-Market,,,
#C602,"Sold on 07/20/2009 for $450,000",,,
#C1206,Off-Market,,,
#C1704,Off-Market,,,
#D8,Off-Market,,,800 ftsq
#D103,Sold on 10/02/2017 for $0,1 bed,1 bath,
#D104,"Sold on 10/02/2017 for $1,050,000",,,
#D105,"Sold on 10/16/2013 for $699,000",,,
#D106,"Listed for rent at $3,850",2 beds,1 bath,"1,000 ftsq"
#D107,"Sold on 02/27/2013 for $605,000",,,
#D200,Off-Market,,,
#D201,"Sold on 09/19/2005 for $416,000",,,
#D202,"Sold on 04/06/2011 for $445,000",,,
#D203,"Sold on 11/05/2008 for $425,000",,,
#D207,"Off-Market on 03/15/2018 at $4,500",2 beds,1 bath,
#D301,"Sold on 07/31/2018 for $685,000",1 bed,1 bath,800 ftsq
#D302,"Sold on 01/13/2015 for $600,000",1 bed,1 bath,800 ftsq
#D303,"Off-Market on 09/17/2018 at $3,250",1 bed,1 bath,816 ftsq
#D306,Off-Market,,,
#D401,"Sold on 11/17/2015 for $287,500",,,
#D402,"Sold on 09/01/2010 for $420,000",,,
#D404,Sold on 04/27/2015 for $0,,,
#D406,"Off-Market on 06/26/2014 at $3,600",2 beds,1 bath,
#D407,"Sold on 11/06/2017 for $1,150,000",2 beds,1 bath,
#D504,"Sold on 08/24/2016 for $1,050,000",,,
#D505,"Sold on 07/09/2014 for $777,000",2 beds,1 bath,
#D506,"Sold on 11/06/2017 for $1,055,000",,,
#D507,"Sold on 08/15/2006 for $652,000",,,
#D601,"Off-Market on 10/11/2018 at $3,000",1 bed,1 bath,824 ftsq
#D605,"Sold on 03/16/2016 for $999,000",,,
#D607,"Sold on 09/21/2015 for $1,115,000",2 beds,1 bath,"1,100 ftsq"
#D701,"Sold on 08/15/2011 for $457,500",,,
#D705,"Sold on 06/21/2011 for $550,000",,,
#D706,Off-Market,,,
#D707,"Off-Market on 10/20/2014 at $3,400",2 beds,1 bath,
#D802,"Sold on 03/05/2018 for $815,000",10 beds,1 bath,800 ftsq
#D803,"Sold on 11/29/2007 for $530,000",,,
#D804,"Sold on 10/24/2011 for $630,000",,,
#D805,"Sold on 03/05/2018 for $975,000",,,
#D906,"Sold on 04/21/2010 for $620,000",2 beds,1 bath,"1,000 ftsq"
#D1001,"Sold on 03/20/2009 for $116,500",,,
#D1002,"Off-Market on 10/16/2015 at $2,900",1 bed,1 bath,800 ftsq
#D1003,"Sold on 05/10/2010 for $495,000",,,
#D1004,"Sold on 05/22/2008 for $720,000",2 beds,1 bath,"1,000 ftsq"
#D1005,"Off-Market on 09/26/2010 at $2,700",studio,,"1,100 ftsq"
#D1006,"Sold on 03/07/2005 for $650,000",,,
#D1007,Off-Market,,,
#D1103,Sold on 12/05/2011 for $0,,,
#D1104,Off-Market,,,
#D1107,Off-Market,,,
#D1201,"Off-Market on 03/29/2018 at $3,000",1 bed,1 bath,824 ftsq
#D1202,"Off-Market on 03/27/2018 at $3,150",1 bed,1 bath,831 ftsq
#D1203,"Sold on 09/16/2013 for $589,000",1 bed,1 bath,
#D1206,Sold on 11/01/2017 for $0,,,
#D1301,"Sold on 01/25/2018 for $780,000",1 bed,1 bath,800 ftsq
#D1304,"Sold on 01/05/2006 for $665,000",,,
#D1305,Off-Market,,,
#D1307,"Sold on 01/27/2005 for $625,000",,,
#D1401,Off-Market,,,
#D1402,"Sold on 02/03/2012 for $405,000",1 bed,1 bath,800 ftsq
#D1407,Sold on 03/07/2017 for $0,,,
#D1503,Off-Market,,,
#D1504,"Sold on 05/18/2010 for $665,000",2 beds,1 bath,"1,000 ftsq"
#D1506,"Sold on 05/27/2015 for $948,000",2 beds,1 bath,"1,000 ftsq"
